Index,Neighbors
0,"4,1"
1,"0,5,2"
2,"1,6,3"
3,"2,7,64"
4,"0,8,5"
5,"4,1,9,6"
6,"5,2,10,7"
7,"6,3,11,68"
8,"4,12,9"
9,"8,5,13,10"
10,"9,6,14,11"
11,"10,7,15,72"
12,"8,16,13"
13,"12,9,17,14"
14,"13,10,18,15"
15,"14,11,19,76"
16,"12,20,17"
17,"16,13,21,18"
18,"17,14,22,19"
19,"18,15,23,80"
20,"16,24,21"
21,"20,17,25,22"
22,"21,18,26,23"
23,"22,19,27,84"
24,"20,28,25"
25,"24,21,29,26"
26,"25,22,30,27"
27,"26,23,31,88"
28,"24,32,29"
29,"28,25,33,30"
30,"29,26,34,31"
31,"30,27,35,92"
32,"28,36,33"
33,"32,29,37,34"
34,"33,30,38,35"
35,"34,31,39,96"
36,"32,40,37"
37,"36,33,41,38"
38,"37,34,42,39"
39,"38,35,43,100"
40,"36,44,41"
41,"40,37,45,42"
42,"41,38,46,43"
43,"42,39,47,104"
44,"40,48,45"
45,"44,41,49,46"
46,"45,42,50,47"
47,"46,43,51,108"
48,"44,52,49"
49,"48,45,53,50"
50,"49,46,54,51"
51,"50,47,55,112"
52,"48,56,53"
53,"52,49,57,54"
54,"53,50,58,55"
55,"54,51,59,116"
56,"52,60,57"
57,"56,53,61,58"
58,"57,54,62,59"
59,"58,55,63,120"
60,"56,61"
61,"60,57,62"
62,"61,58,63"
63,"62,59,124"
64,"3,68,65"
65,"64,69,66"
66,"65,70,67"
67,"66,71,128"
68,"7,64,72,69"
69,"68,65,73,70"
70,"69,66,74,71"
71,"70,67,75,132"
72,"11,68,76,73"
73,"72,69,77,74"
74,"73,70,78,75"
75,"74,71,79,136"
76,"15,72,80,77"
77,"76,73,81,78"
78,"77,74,82,79"
79,"78,75,83,140"
80,"19,76,84,81"
81,"80,77,85,82"
82,"81,78,86,83"
83,"82,79,87,144"
84,"23,80,88,85"
85,"84,81,89,86"
86,"85,82,90,87"
87,"86,83,91,148"
88,"27,84,92,89"
89,"88,85,93,90"
90,"89,86,94,91"
91,"90,87,95,152"
92,"31,88,96,93"
93,"92,89,97,94"
94,"93,90,98,95"
95,"94,91,99,156"
96,"35,92,100,97"
97,"96,93,101,98"
98,"97,94,102,99"
99,"98,95,103,160"
100,"39,96,104,101"
101,"100,97,105,102"
102,"101,98,106,103"
103,"102,99,107,164"
104,"43,100,108,105"
105,"104,101,109,106"
106,"105,102,110,107"
107,"106,103,111,168"
108,"47,104,112,109"
109,"108,105,113,110"
110,"109,106,114,111"
111,"110,107,115,172"
112,"51,108,116,113"
113,"112,109,117,114"
114,"113,110,118,115"
115,"114,111,119,176"
116,"55,112,120,117"
117,"116,113,121,118"
118,"117,114,122,119"
119,"118,115,123,180"
120,"59,116,124,121"
121,"120,117,125,122"
122,"121,118,126,123"
123,"122,119,127,184"
124,"63,120,125"
125,"124,121,126"
126,"125,122,127"
127,"126,123,188"
128,"67,132,129"
129,"128,133,130"
130,"129,134,131"
131,"130,135,192"
132,"71,128,136,133"
133,"132,129,137,134"
134,"133,130,138,135"
135,"134,131,139,196"
136,"75,132,140,137"
137,"136,133,141,138"
138,"137,134,142,139"
139,"138,135,143,200"
140,"79,136,144,141"
