phys43199.physics.gatech.edu is reachable.Mon Nov 27 20:42:18 2023
phys43199.physics.gatech.edu is reachable. -Mon Nov 27 20:43:44 2023
phys43199.physics.gatech.edu is reachable. -Mon Nov 27 20:56:17 2023
Door Shut Mon Nov 27 20:56:33 2023
phys43199.physics.gatech.edu is reachable. -Mon Nov 27 21:01:42 2023
phys43199.physics.gatech.edu is reachable. -Mon Nov 27 21:03:46 2023
phys43199.physics.gatech.edu is reachable. -Mon Nov 27 21:04:24 2023
Door Shut Mon Nov 27 21:04:24 2023
phys43199.physics.gatech.edu is reachable. -Mon Nov 27 21:07:17 2023
Door shut FAILUREMon Nov 27 21:07:17 2023
Door Shut Mon Nov 27 21:07:17 2023
phys43199.physics.gatech.edu is reachable. -Mon Nov 27 21:09:29 2023
shut_doo FAILURE Mon Nov 27 21:09:29 2023
Door Shut Mon Nov 27 21:09:29 2023
phys43199.physics.gatech.edu is reachable. -Mon Nov 27 21:10:57 2023
shut_doo FAILURE Mon Nov 27 21:10:57 2023
phys43199.physics.gatech.edu is reachable. -Mon Nov 27 21:12:28 2023
shut_door SuccessfulMon Nov 27 21:12:43 2023
phys43199.physics.gatech.edu is reachable. -Mon Nov 27 21:18:40 2023
phys43199.physics.gatech.edu is reachable. -Mon Nov 27 21:19:23 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 17:59:14 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 18:50:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 18:55:05 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 19:00:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 19:05:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 19:10:05 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 19:15:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 19:20:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 19:25:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 19:30:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 19:35:05 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 19:40:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 19:45:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 19:50:05 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 19:55:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 20:00:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 20:05:05 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 20:10:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 20:15:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 20:20:05 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 20:25:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 20:30:05 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 20:35:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 20:40:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 20:45:05 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 20:50:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 20:55:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 21:00:05 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 21:05:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 21:10:04 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 21:15:05 2023
phys43199.physics.gatech.edu is reachable. -Wed Nov 29 21:20:04 2023
