Operation Mode 1: Normal
File Name, Test Events, HLED Events, Forced Events, Avg Rounded Bias Voltage, Max Current
Merged_CoBo0_AsAd0_2025-09-24T03:19:56.459_0000.root, 34, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T03:21:56.459_0000.root, 32, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T03:23:56.459_0000.root, 40, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T03:25:56.459_0000.root, 47, 96, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T03:27:56.460_0000.root, 38, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T03:29:56.094_0000.root, 33, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T03:31:55.586_0000.root, 38, 96, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T03:33:56.463_0000.root, 36, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T03:35:56.463_0000.root, 42, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T03:37:56.463_0000.root, 43, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T03:39:56.464_0000.root, 43, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T03:41:56.464_0000.root, 35, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T03:43:56.464_0000.root, 38, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T03:45:56.465_0000.root, 42, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T03:47:56.465_0000.root, 45, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T03:49:55.721_0000.root, 30, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T03:51:56.465_0000.root, 32, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T03:53:56.465_0000.root, 35, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T03:55:56.465_0000.root, 23, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T03:57:56.163_0000.root, 43, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T03:59:56.465_0000.root, 37, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:01:55.806_0000.root, 40, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:03:56.536_0000.root, 29, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:05:56.466_0000.root, 30, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:07:55.603_0000.root, 42, 96, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:09:56.466_0000.root, 33, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:11:56.080_0000.root, 34, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:13:55.729_0000.root, 42, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:15:56.467_0000.root, 36, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:17:56.412_0000.root, 31, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:19:56.468_0000.root, 40, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:21:56.468_0000.root, 44, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:23:56.184_0000.root, 47, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:25:56.468_0000.root, 32, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:27:55.788_0000.root, 38, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:29:56.468_0000.root, 40, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:31:56.468_0000.root, 43, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:33:56.468_0000.root, 35, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:35:56.127_0000.root, 37, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:37:56.128_0000.root, 42, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:39:56.469_0000.root, 39, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:41:56.469_0000.root, 39, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:43:55.793_0000.root, 40, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T04:45:56.469_0000.root, 41, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T04:47:56.469_0000.root, 34, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T04:49:55.860_0000.root, 38, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T04:51:55.994_0000.root, 48, 96, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T04:53:56.319_0000.root, 44, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T04:55:56.470_0000.root, 53, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T04:57:55.572_0000.root, 45, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T04:59:56.470_0000.root, 30, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:01:56.471_0000.root, 50, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:03:56.278_0000.root, 36, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:05:56.471_0000.root, 44, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:07:56.328_0000.root, 53, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:09:56.269_0000.root, 37, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:11:56.471_0000.root, 37, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:13:56.455_0000.root, 50, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:15:56.472_0000.root, 41, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:17:56.472_0000.root, 37, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:19:55.702_0000.root, 35, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:21:56.472_0000.root, 43, 96, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:23:56.472_0000.root, 50, 95, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T05:25:56.472_0000.root, 42, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T05:27:56.165_0000.root, 50, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T05:29:56.473_0000.root, 42, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T05:31:56.472_0000.root, 107, 44, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T05:33:56.472_0000.root, 53, 95, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T05:35:56.473_0000.root, 38, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T05:37:56.472_0000.root, 40, 96, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T05:39:55.943_0000.root, 43, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T05:41:56.473_0000.root, 33, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T05:43:56.473_0000.root, 44, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T05:45:56.473_0000.root, 42, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T05:47:56.263_0000.root, 41, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T05:49:56.614_0000.root, 50, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T05:51:55.822_0000.root, 49, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T05:53:56.277_0000.root, 46, 96, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T05:55:56.474_0000.root, 67, 92, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T05:57:56.474_0000.root, 93, 33, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T05:59:56.541_0000.root, 185, 14, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T06:01:56.474_0000.root, 52, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:03:56.474_0000.root, 41, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:05:56.474_0000.root, 38, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:07:56.228_0000.root, 49, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:09:56.474_0000.root, 48, 96, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:11:56.220_0000.root, 46, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:13:55.522_0000.root, 50, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:15:56.475_0000.root, 41, 96, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:17:56.476_0000.root, 49, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:19:56.476_0000.root, 44, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:21:56.476_0000.root, 52, 96, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:23:55.627_0000.root, 42, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:25:56.476_0000.root, 57, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:27:56.313_0000.root, 50, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:29:56.477_0000.root, 48, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:31:56.477_0000.root, 42, 96, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:33:56.478_0000.root, 45, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:35:56.478_0000.root, 64, 95, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:37:55.602_0000.root, 90, 86, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:39:56.218_0000.root, 37, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:41:56.478_0000.root, 100, 64, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:43:56.478_0000.root, 128, 58, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T06:45:56.478_0000.root, 51, 96, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T06:47:56.478_0000.root, 36, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T06:49:56.479_0000.root, 48, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T06:51:56.479_0000.root, 51, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T06:53:56.479_0000.root, 108, 66, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T06:55:56.479_0000.root, 135, 17, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T06:57:56.479_0000.root, 37, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T06:59:56.060_0000.root, 42, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:01:56.479_0000.root, 53, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:03:56.479_0000.root, 53, 96, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:05:56.479_0000.root, 48, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:07:56.479_0000.root, 50, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:09:55.698_0000.root, 34, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:11:56.196_0000.root, 45, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:13:56.480_0000.root, 37, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:15:56.419_0000.root, 40, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:17:55.743_0000.root, 37, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:19:55.948_0000.root, 49, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:21:56.109_0000.root, 45, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:23:56.480_0000.root, 49, 95, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:25:56.480_0000.root, 39, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:27:56.481_0000.root, 64, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:29:56.081_0000.root, 45, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:31:56.480_0000.root, 46, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:33:56.201_0000.root, 44, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:35:56.552_0000.root, 46, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:37:56.481_0000.root, 49, 94, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:39:56.481_0000.root, 107, 77, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:41:56.481_0000.root, 130, 63, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:43:56.622_0000.root, 55, 89, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:45:55.962_0000.root, 46, 96, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:47:56.481_0000.root, 51, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:49:55.618_0000.root, 45, 97, 0, 44.0, 6.4
