File Name, OpMode, Test Events, HLED Events, Forced Events
Merged_CoBo0_AsAd0_2026-03-11T01:21:58.451_0000.root,0,0,43,0
Merged_CoBo0_AsAd0_2026-03-11T01:23:04.384_0000.root,0,0,97,0
Merged_CoBo0_AsAd0_2026-03-11T01:25:04.385_0000.root,0,0,97,0
Merged_CoBo0_AsAd0_2026-03-11T01:27:04.384_0000.root,0,0,97,0
Merged_CoBo0_AsAd0_2026-03-11T01:29:04.384_0000.root,0,0,97,0
Merged_CoBo0_AsAd0_2026-03-11T01:31:04.384_0000.root,0,0,97,0
Merged_CoBo0_AsAd0_2026-03-11T01:33:04.384_0000.root,0,0,97,0
Merged_CoBo0_AsAd0_2026-03-11T01:35:04.384_0000.root,0,0,97,0
Merged_CoBo0_AsAd0_2026-03-11T01:37:04.384_0000.root,0,0,97,0
Merged_CoBo0_AsAd0_2026-03-11T01:39:04.385_0000.root,0,0,97,0
Merged_CoBo0_AsAd0_2026-03-11T01:41:04.384_0000.root,0,0,75,0
Merged_CoBo0_AsAd0_2026-03-11T02:37:53.337_0000.root,0,0,48,0
Merged_CoBo0_AsAd0_2026-03-11T02:39:04.267_0000.root,6,44,70,0
Merged_CoBo0_AsAd0_2026-03-11T02:41:04.267_0000.root,3,22,97,0
Merged_CoBo0_AsAd0_2026-03-11T02:43:04.268_0000.root,3,30,97,0
Merged_CoBo0_AsAd0_2026-03-11T02:45:04.268_0000.root,3,31,97,0
Merged_CoBo0_AsAd0_2026-03-11T02:47:04.268_0000.root,3,25,97,0
Merged_CoBo0_AsAd0_2026-03-11T02:49:03.837_0000.root,3,23,97,0
Merged_CoBo0_AsAd0_2026-03-11T02:51:04.268_0000.root,3,21,97,0
Merged_CoBo0_AsAd0_2026-03-11T02:53:04.152_0000.root,3,33,97,0
Merged_CoBo0_AsAd0_2026-03-11T02:55:04.268_0000.root,3,31,96,0
Merged_CoBo0_AsAd0_2026-03-11T02:57:04.268_0000.root,3,34,97,0
Merged_CoBo0_AsAd0_2026-03-11T02:59:04.269_0000.root,3,35,97,0
Merged_CoBo0_AsAd0_2026-03-11T03:01:03.961_0000.root,3,33,97,0
Merged_CoBo0_AsAd0_2026-03-11T03:03:04.269_0000.root,3,37,97,0
Merged_CoBo0_AsAd0_2026-03-11T03:05:03.891_0000.root,3,42,97,0
Merged_CoBo0_AsAd0_2026-03-11T03:07:04.410_0000.root,3,38,97,0
Merged_CoBo0_AsAd0_2026-03-11T03:09:04.270_0000.root,3,36,95,0
Merged_CoBo0_AsAd0_2026-03-11T03:11:04.269_0000.root,1,72,95,0
Merged_CoBo0_AsAd0_2026-03-11T03:13:04.270_0000.root,1,133,48,0
Merged_CoBo0_AsAd0_2026-03-11T03:15:04.270_0000.root,1,99,1,0
Merged_CoBo0_AsAd0_2026-03-11T03:17:04.269_0000.root,1,162,26,0
Merged_CoBo0_AsAd0_2026-03-11T03:19:04.269_0000.root,1,166,3,0
Merged_CoBo0_AsAd0_2026-03-11T03:21:04.269_0000.root,1,119,46,0
Merged_CoBo0_AsAd0_2026-03-11T03:23:04.269_0000.root,1,110,44,0
Merged_CoBo0_AsAd0_2026-03-11T03:25:04.267_0000.root,1,55,86,0
Merged_CoBo0_AsAd0_2026-03-11T03:27:04.269_0000.root,1,170,4,0
