Trinity Demonstrator Database Output - Rank 8 Files 
Period of time : 20241012 to 20250602 
Total Days: 72 days 
Total Files: 12857 files 
Hours Data: 346.4 hours 

Date, Night Files, Hours Data 
20241012, 73, 1.97
20241022, 3, 0.08
20241023, 84, 2.26
20241024, 107, 2.88
20241025, 113, 3.04
20241026, 188, 5.07
20241027, 37, 1.00
20241028, 86, 2.32
20241101, 255, 6.87
20241102, 265, 7.14
20241105, 269, 7.25
20241109, 127, 3.42
20241110, 135, 3.64
20241122, 134, 3.61
20241123, 177, 4.77
20241124, 292, 7.87
20241129, 219, 5.90
20241130, 321, 8.65
20241202, 316, 8.51
20241203, 285, 7.68
20241204, 90, 2.42
20241207, 205, 5.52
20241208, 132, 3.56
20241219, 68, 1.83
20241221, 116, 3.13
20241222, 166, 4.47
20241224, 270, 7.28
20241227, 156, 4.20
20241228, 336, 9.05
20241229, 325, 8.76
20250102, 316, 8.51
20250104, 57, 1.54
20250105, 197, 5.31
20250106, 171, 4.61
20250122, 196, 5.28
20250125, 301, 8.11
20250128, 238, 6.41
20250129, 312, 8.41
20250130, 269, 7.25
20250201, 269, 7.25
20250224, 296, 7.98
20250225, 269, 7.25
20250228, 268, 7.22
20250301, 282, 7.60
20250302, 244, 6.57
20250305, 134, 3.61
20250325, 242, 6.52
20250326, 245, 6.60
20250327, 253, 6.82
20250328, 227, 6.12
20250331, 226, 6.09
20250406, 26, 0.70
20250407, 12, 0.32
20250417, 33, 0.89
20250418, 100, 2.69
20250420, 155, 4.18
20250421, 186, 5.01
20250423, 42, 1.13
20250424, 220, 5.93
20250426, 195, 5.25
20250427, 202, 5.44
20250503, 58, 1.56
20250521, 160, 4.31
20250522, 150, 4.04
20250523, 68, 1.83
20250525, 147, 3.96
20250526, 150, 4.04
20250527, 169, 4.55
20250528, 167, 4.50
20250529, 123, 3.31
20250531, 89, 2.40
20250602, 43, 1.16
