
Trinity Demonstrator Database Output - Queries
Period of time : 20241002 to 20251229
Ranks: 8,
hvValues = 44
Total Days: 129 days
Total Files: 24317 files
Total Hours Data: 655.2 hours
Door Open Hours Data: 551.3 hours
Extended Moon Hours Data: 0.0 hours
Door Closed Hours Data: 100.8 hours
listing dates

Date, Files, Hours, Door Position
20241012, 82, 2.21, o
20241022, 4, 0.11, o
20241023, 84, 2.26, o
20241024, 109, 2.94, o
20241025, 115, 3.10, o
20241028, 86, 2.32, o
20241101, 255, 6.87, o
20241105, 270, 7.28, o
20241109, 128, 3.45, o
20241110, 135, 3.64, o
20241122, 135, 3.64, o
20241123, 180, 4.85, o
20241124, 299, 8.06, o
20241129, 223, 6.01, o
20241130, 330, 8.89, o
20241202, 318, 8.57, o
20241203, 305, 8.22, o
20241207, 219, 5.90, o
20241208, 148, 3.99, o
20241219, 82, 2.21, o
20241221, 129, 3.48, o
20241222, 179, 4.82, o
20241224, 286, 7.71, o
20241227, 172, 4.63, o
20241228, 350, 9.43, o
20241229, 339, 9.13, o
20250102, 329, 8.86, o
20250105, 199, 5.36, o
20250106, 183, 4.93, o
20250122, 210, 5.66, o
20250125, 315, 8.49, o
20250128, 250, 6.74, o
20250129, 326, 8.78, o
20250130, 278, 7.49, o
20250201, 284, 7.65, o
20250224, 311, 8.38, o
20250225, 286, 7.71, o
20250228, 285, 7.68, o
20250301, 300, 8.08, o
20250302, 262, 7.06, o
20250305, 148, 3.99, o
20250325, 258, 6.95, o
20250326, 267, 7.19, o
20250327, 266, 7.17, o
20250328, 242, 6.52, o
20250331, 239, 6.44, o
20250406, 38, 1.02, o
20250407, 23, 0.62, o
20250417, 39, 1.05, o
20250418, 150, 4.04, o
20250420, 158, 4.26, o
20250421, 189, 5.09, o
20250422, 206, 5.55, o
20250423, 47, 1.27, o
20250424, 223, 6.01, o
20250425, 227, 6.12, o
20250426, 212, 5.71, o
20250427, 217, 5.85, o
20250503, 72, 1.94, o
20250521, 174, 4.69, o
20250522, 160, 4.31, o
20250523, 82, 2.21, o
20250525, 148, 3.99, o
20250526, 175, 4.72, o
20250527, 184, 4.96, o
20250528, 182, 4.90, o
20250529, 139, 3.75, o
20250531, 104, 2.80, o
20250602, 57, 1.54, o
20250603, 52, 1.40, o
20250604, 39, 1.05, o
20250617, 92, 2.48, o
20250619, 126, 3.40, o
20250625, 167, 4.50, o
20250626, 170, 4.58, o
20250628, 142, 3.83, o
20250629, 135, 3.64, o
20250630, 121, 3.26, o
20250701, 114, 3.07, o
20250702, 89, 2.40, o
20250703, 86, 2.32, o
20250719, 163, 4.39, o
20250720, 127, 3.42, o
20250721, 134, 3.61, o
20250722, 173, 4.66, o
20250723, 190, 5.12, o
20250724, 194, 5.23, o
20250725, 195, 5.25, o
20250726, 196, 5.28, o
20250727, 150, 4.04, o
20250728, 179, 4.82, o
20250729, 178, 4.80, o
20250730, 168, 4.53, o
20250801, 146, 3.93, o
20250802, 128, 3.45, o
20250803, 97, 2.61, o
20250815, 109, 2.94, o
20250818, 219, 5.90, o
20250820, 232, 6.25, o
20250821, 232, 6.25, o
20250822, 116, 3.13, o
20250829, 169, 4.55, o
20250830, 115, 3.10, o
20250831, 165, 4.45, o
20250901, 156, 4.20, o
20250902, 76, 2.05, o
20250903, 78, 2.10, o
20250911, 250, 6.74, o
20250912, 214, 5.77, o
20250915, 119, 3.21, o
20250916, 185, 4.98, o
20250918, 162, 4.37, o
20250919, 272, 7.33, o
20250923, 282, 7.60, o
20250924, 271, 7.30, o
20250928, 275, 7.41, o
20251013, 98, 2.64, o
20251014, 303, 8.16, o
20251019, 312, 8.41, o
20251025, 327, 8.81, o
20251026, 329, 8.86, o
20251027, 162, 4.37, o
20251030, 323, 8.70, o
20251031, 319, 8.60, o
20251101, 239, 6.44, o
20251102, 38, 1.02, o
20251109, 313, 8.43, o
20251128, 356, 9.59, o
20251219, 344, 9.27, o
