Index,Neighbors
0,"4,1,5"
1,"0,4,5,2,6"
2,"1,5,6,3,7"
3,"2,6,7,64,68"
4,"0,8,1,5,9"
5,"0,4,8,1,9,2,6,10"
6,"1,5,9,2,10,3,7,11"
7,"2,6,10,3,11,64,68,72"
8,"4,12,5,9,13"
9,"4,8,12,5,13,6,10,14"
10,"5,9,13,6,14,7,11,15"
11,"6,10,14,7,15,68,72,76"
12,"8,16,9,13,17"
13,"8,12,16,9,17,10,14,18"
14,"9,13,17,10,18,11,15,19"
15,"10,14,18,11,19,72,76,80"
16,"12,20,13,17,21"
17,"12,16,20,13,21,14,18,22"
18,"13,17,21,14,22,15,19,23"
19,"14,18,22,15,23,76,80,84"
20,"16,24,17,21,25"
21,"16,20,24,17,25,18,22,26"
22,"17,21,25,18,26,19,23,27"
23,"18,22,26,19,27,80,84,88"
24,"20,28,21,25,29"
25,"20,24,28,21,29,22,26,30"
26,"21,25,29,22,30,23,27,31"
27,"22,26,30,23,31,84,88,92"
28,"24,32,25,29,33"
29,"24,28,32,25,33,26,30,34"
30,"25,29,33,26,34,27,31,35"
31,"26,30,34,27,35,88,92,96"
32,"28,36,29,33,37"
33,"28,32,36,29,37,30,34,38"
34,"29,33,37,30,38,31,35,39"
35,"30,34,38,31,39,92,96,100"
36,"32,40,33,37,41"
37,"32,36,40,33,41,34,38,42"
38,"33,37,41,34,42,35,39,43"
39,"34,38,42,35,43,96,100,104"
40,"36,44,37,41,45"
41,"36,40,44,37,45,38,42,46"
42,"37,41,45,38,46,39,43,47"
43,"38,42,46,39,47,100,104,108"
44,"40,48,41,45,49"
45,"40,44,48,41,49,42,46,50"
46,"41,45,49,42,50,43,47,51"
47,"42,46,50,43,51,104,108,112"
48,"44,52,45,49,53"
49,"44,48,52,45,53,46,50,54"
50,"45,49,53,46,54,47,51,55"
51,"46,50,54,47,55,108,112,116"
52,"48,56,49,53,57"
53,"48,52,56,49,57,50,54,58"
54,"49,53,57,50,58,51,55,59"
55,"50,54,58,51,59,112,116,120"
56,"52,60,53,57,61"
57,"52,56,60,53,61,54,58,62"
58,"53,57,61,54,62,55,59,63"
59,"54,58,62,55,63,116,120,124"
60,"56,57,61"
61,"56,60,57,58,62"
62,"57,61,58,59,63"
63,"58,62,59,120,124"
64,"3,7,68,65,69"
65,"64,68,69,66,70"
66,"65,69,70,67,71"
67,"66,70,71,128,132"
68,"3,7,11,64,72,65,69,73"
69,"64,68,72,65,73,66,70,74"
70,"65,69,73,66,74,67,71,75"
71,"66,70,74,67,75,128,132,136"
72,"7,11,15,68,76,69,73,77"
73,"68,72,76,69,77,70,74,78"
74,"69,73,77,70,78,71,75,79"
75,"70,74,78,71,79,132,136,140"
76,"11,15,19,72,80,73,77,81"
77,"72,76,80,73,81,74,78,82"
78,"73,77,81,74,82,75,79,83"
79,"74,78,82,75,83,136,140,144"
80,"15,19,23,76,84,77,81,85"
81,"76,80,84,77,85,78,82,86"
82,"77,81,85,78,86,79,83,87"
83,"78,82,86,79,87,140,144,148"
84,"19,23,27,80,88,81,85,89"
85,"80,84,88,81,89,82,86,90"
86,"81,85,89,82,90,83,87,91"
87,"82,86,90,83,91,144,148,152"
88,"23,27,31,84,92,85,89,93"
89,"84,88,92,85,93,86,90,94"
90,"85,89,93,86,94,87,91,95"
91,"86,90,94,87,95,148,152,156"
92,"27,31,35,88,96,89,93,97"
93,"88,92,96,89,97,90,94,98"
94,"89,93,97,90,98,91,95,99"
95,"90,94,98,91,99,152,156,160"
96,"31,35,39,92,100,93,97,101"
97,"92,96,100,93,101,94,98,102"
98,"93,97,101,94,102,95,99,103"
99,"94,98,102,95,103,156,160,164"
100,"35,39,43,96,104,97,101,105"
101,"96,100,104,97,105,98,102,106"
102,"97,101,105,98,106,99,103,107"
103,"98,102,106,99,107,160,164,168"
104,"39,43,47,100,108,101,105,109"
105,"100,104,108,101,109,102,106,110"
106,"101,105,109,102,110,103,107,111"
107,"102,106,110,103,111,164,168,172"
108,"43,47,51,104,112,105,109,113"
109,"104,108,112,105,113,106,110,114"
110,"105,109,113,106,114,107,111,115"
111,"106,110,114,107,115,168,172,176"
112,"47,51,55,108,116,109,113,117"
113,"108,112,116,109,117,110,114,118"
114,"109,113,117,110,118,111,115,119"
115,"110,114,118,111,119,172,176,180"
116,"51,55,59,112,120,113,117,121"
117,"112,116,120,113,121,114,118,122"
118,"113,117,121,114,122,115,119,123"
119,"114,118,122,115,123,176,180,184"
120,"55,59,63,116,124,117,121,125"
121,"116,120,124,117,125,118,122,126"
122,"117,121,125,118,126,119,123,127"
123,"118,122,126,119,127,180,184,188"
124,"59,63,120,121,125"
125,"120,124,121,122,126"
126,"121,125,122,123,127"
127,"122,126,123,184,188"
128,"67,71,132,129,133"
129,"128,132,133,130,134"
130,"129,133,134,131,135"
131,"130,134,135,192,196"
132,"67,71,75,128,136,129,133,137"
133,"128,132,136,129,137,130,134,138"
134,"129,133,137,130,138,131,135,139"
135,"130,134,138,131,139,192,196,200"
136,"71,75,79,132,140,133,137,141"
137,"132,136,140,133,141,134,138,142"
138,"133,137,141,134,142,135,139,143"
139,"134,138,142,135,143,196,200,204"
140,"75,79,83,136,144,137,141,145"
141,"136,140,144,137,145,138,142,146"
142,"137,141,145,138,146,139,143,147"
143,"138,142,146,139,147,200,204,208"
144,"79,83,87,140,148,141,145,149"
145,"140,144,148,141,149,142,146,150"
146,"141,145,149,142,150,143,147,151"
147,"142,146,150,143,151,204,208,212"
148,"83,87,91,144,152,145,149,153"
149,"144,148,152,145,153,146,150,154"
