No internet connection Wed Nov  8 21:09:23 2023
CT Camera not operating Wed Nov  8 21:09:23 2023
No internet connection Wed Nov  8 21:09:52 2023
CT Camera not operating Wed Nov  8 21:09:52 2023
Internet connection is available. Wed Nov  8 21:51:01 2023
Internet connection is available. Wed Nov  8 22:00:02 2023
Internet connection is available. Wed Nov 29 19:00:02 2023
Internet connection is available. Wed Nov 29 19:30:06 2023
Internet connection is available. Wed Nov 29 20:00:02 2023
Internet connection is available. Wed Nov 29 20:30:02 2023
Internet connection is available. Wed Nov 29 21:00:01 2023
Internet connection is available. Wed Nov 29 21:30:01 2023
Internet connection is available. Wed Nov 29 22:00:01 2023
Internet connection is available. Wed Nov 29 22:30:02 2023
Internet connection is available. Wed Nov 29 23:00:02 2023
Internet connection is available. Wed Nov 29 23:30:01 2023
Internet connection is available. Thu Nov 30 00:00:01 2023
Internet connection is available. Thu Nov 30 00:30:01 2023
Internet connection is available. Thu Nov 30 01:00:02 2023
Internet connection is available. Thu Nov 30 01:30:02 2023
Internet connection is available. Thu Nov 30 02:00:01 2023
Internet connection is available. Thu Nov 30 02:30:01 2023
Internet connection is available. Thu Nov 30 03:00:01 2023
Internet connection is available. Thu Nov 30 03:30:02 2023
Internet connection is available. Thu Nov 30 04:00:02 2023
Internet connection is available. Thu Nov 30 04:30:01 2023
Internet connection is available. Thu Nov 30 05:00:01 2023
Internet connection is available. Thu Nov 30 05:30:01 2023
Internet connection is available. Thu Nov 30 06:00:02 2023
Internet connection is available. Thu Nov 30 06:30:02 2023
Internet connection is available. Thu Nov 30 07:00:01 2023
Internet connection is available. Thu Nov 30 07:30:01 2023
Internet connection is available. Thu Nov 30 08:00:01 2023
Internet connection is available. Thu Nov 30 08:30:02 2023
Internet connection is available. Thu Nov 30 09:00:02 2023
Internet connection is available. Thu Nov 30 09:30:01 2023
Internet connection is available. Thu Nov 30 19:00:01 2023
Internet connection is available. Thu Nov 30 19:30:02 2023
Internet connection is available. Thu Nov 30 20:00:02 2023
Internet connection is available. Thu Nov 30 20:30:01 2023
Internet connection is available. Thu Nov 30 21:00:01 2023
Internet connection is available. Thu Nov 30 21:30:01 2023
Internet connection is available. Thu Nov 30 22:00:02 2023
Internet connection is available. Thu Nov 30 22:30:02 2023
Internet connection is available. Thu Nov 30 23:00:01 2023
Internet connection is available. Thu Nov 30 23:30:01 2023
Internet connection is available. Fri Dec  1 00:00:01 2023
Internet connection is available. Fri Dec  1 00:30:02 2023
Internet connection is available. Fri Dec  1 01:00:02 2023
Internet connection is available. Fri Dec  1 01:30:01 2023
Internet connection is available. Fri Dec  1 02:00:01 2023
Internet connection is available. Fri Dec  1 02:30:01 2023
Internet connection is available. Fri Dec  1 03:00:02 2023
Internet connection is available. Fri Dec  1 03:30:02 2023
Internet connection is available. Fri Dec  1 04:00:01 2023
Internet connection is available. Fri Dec  1 04:30:01 2023
Internet connection is available. Fri Dec  1 05:00:01 2023
Internet connection is available. Fri Dec  1 05:30:02 2023
Internet connection is available. Fri Dec  1 06:00:02 2023
Internet connection is available. Fri Dec  1 06:30:01 2023
Internet connection is available. Fri Dec  1 07:00:01 2023
Internet connection is available. Fri Dec  1 07:30:01 2023
Internet connection is available. Fri Dec  1 08:00:02 2023
Internet connection is available. Fri Dec  1 08:30:02 2023
Internet connection is available. Fri Dec  1 09:00:02 2023
Internet connection is available. Fri Dec  1 09:30:01 2023
Internet connection is available. Fri Dec  1 19:00:02 2023
Internet connection is available. Fri Dec  1 19:30:02 2023
Internet connection is available. Fri Dec  1 20:00:01 2023
Internet connection is available. Fri Dec  1 20:30:01 2023
Internet connection is available. Fri Dec  1 21:00:01 2023
Internet connection is available. Fri Dec  1 21:30:02 2023
Internet connection is available. Fri Dec  1 22:00:02 2023
Internet connection is available. Fri Dec  1 22:30:01 2023
Internet connection is available. Fri Dec  1 23:00:01 2023
Internet connection is available. Fri Dec  1 23:30:01 2023
Internet connection is available. Sat Dec  2 00:00:02 2023
Internet connection is available. Sat Dec  2 00:30:02 2023
Internet connection is available. Sat Dec  2 01:00:01 2023
Internet connection is available. Sat Dec  2 01:30:01 2023
Internet connection is available. Sat Dec  2 02:00:01 2023
Internet connection is available. Sat Dec  2 02:30:02 2023
Internet connection is available. Sat Dec  2 03:00:02 2023
Internet connection is available. Sat Dec  2 03:30:02 2023
Internet connection is available. Sat Dec  2 04:00:01 2023
Internet connection is available. Sat Dec  2 04:30:01 2023
Internet connection is available. Sat Dec  2 05:00:02 2023
Internet connection is available. Sat Dec  2 05:30:02 2023
Internet connection is available. Sat Dec  2 06:00:02 2023
Internet connection is available. Sat Dec  2 06:30:01 2023
Internet connection is available. Sat Dec  2 07:00:01 2023
Internet connection is available. Sat Dec  2 07:30:02 2023
Internet connection is available. Sat Dec  2 08:00:02 2023
Internet connection is available. Sat Dec  2 08:30:02 2023
Internet connection is available. Sat Dec  2 09:00:01 2023
Internet connection is available. Sat Dec  2 09:30:01 2023
Internet connection is available. Sat Dec  2 19:00:02 2023
Internet connection is available. Sat Dec  2 19:30:06 2023
Internet connection is available. Sat Dec  2 20:00:02 2023
Internet connection is available. Sat Dec  2 20:30:02 2023
Internet connection is available. Sat Dec  2 21:00:02 2023
Internet connection is available. Sat Dec  2 21:30:01 2023
Internet connection is available. Sat Dec  2 22:00:01 2023
Internet connection is available. Sat Dec  2 22:30:02 2023
Internet connection is available. Sat Dec  2 23:00:02 2023
Internet connection is available. Sat Dec  2 23:30:02 2023
Internet connection is available. Sun Dec  3 00:00:01 2023
Internet connection is available. Sun Dec  3 00:30:01 2023
Internet connection is available. Sun Dec  3 01:00:02 2023
Internet connection is available. Sun Dec  3 01:30:02 2023
Internet connection is available. Sun Dec  3 02:00:02 2023
Internet connection is available. Sun Dec  3 02:30:02 2023
Internet connection is available. Sun Dec  3 03:00:02 2023
Internet connection is available. Sun Dec  3 03:30:01 2023
Internet connection is available. Sun Dec  3 04:00:01 2023
Internet connection is available. Sun Dec  3 04:30:02 2023
Internet connection is available. Sun Dec  3 05:00:02 2023
Internet connection is available. Sun Dec  3 05:30:02 2023
Internet connection is available. Sun Dec  3 06:00:01 2023
Internet connection is available. Sun Dec  3 06:30:01 2023
Internet connection is available. Sun Dec  3 07:00:02 2023
Internet connection is available. Sun Dec  3 07:30:02 2023
Internet connection is available. Sun Dec  3 08:00:02 2023
Internet connection is available. Sun Dec  3 08:30:01 2023
Internet connection is available. Sun Dec  3 09:00:01 2023
Internet connection is available. Sun Dec  3 09:30:02 2023
Internet connection is available. Sun Dec  3 19:00:02 2023
Internet connection is available. Sun Dec  3 19:30:06 2023
Internet connection is available. Sun Dec  3 20:00:02 2023
Internet connection is available. Sun Dec  3 20:30:02 2023
Internet connection is available. Sun Dec  3 21:00:01 2023
Internet connection is available. Sun Dec  3 21:30:01 2023
Internet connection is available. Sun Dec  3 22:00:01 2023
Internet connection is available. Sun Dec  3 22:30:02 2023
Internet connection is available. Sun Dec  3 23:00:02 2023
Internet connection is available. Sun Dec  3 23:30:01 2023
Internet connection is available. Mon Dec  4 00:00:01 2023
Internet connection is available. Mon Dec  4 00:30:01 2023
Internet connection is available. Mon Dec  4 01:00:02 2023
Internet connection is available. Mon Dec  4 01:30:02 2023
Internet connection is available. Mon Dec  4 02:00:01 2023
Internet connection is available. Mon Dec  4 02:30:01 2023
Internet connection is available. Mon Dec  4 03:00:01 2023
Internet connection is available. Mon Dec  4 03:30:02 2023
Internet connection is available. Mon Dec  4 04:00:02 2023
Internet connection is available. Mon Dec  4 04:30:01 2023
Internet connection is available. Mon Dec  4 05:00:01 2023
Internet connection is available. Mon Dec  4 05:30:01 2023
Internet connection is available. Mon Dec  4 06:00:02 2023
Internet connection is available. Mon Dec  4 06:30:02 2023
Internet connection is available. Mon Dec  4 07:00:01 2023
Internet connection is available. Mon Dec  4 07:30:01 2023
Internet connection is available. Mon Dec  4 08:00:01 2023
Internet connection is available. Mon Dec  4 08:30:02 2023
Internet connection is available. Mon Dec  4 09:00:02 2023
Internet connection is available. Mon Dec  4 09:30:01 2023
Internet connection is available. Mon Dec  4 19:00:02 2023
Internet connection is available. Mon Dec  4 19:30:07 2023
Internet connection is available. Mon Dec  4 20:00:02 2023
Internet connection is available. Mon Dec  4 20:30:02 2023
Internet connection is available. Mon Dec  4 21:00:02 2023
Internet connection is available. Mon Dec  4 21:30:01 2023
Internet connection is available. Mon Dec  4 22:00:01 2023
Internet connection is available. Mon Dec  4 22:30:02 2023
Internet connection is available. Mon Dec  4 23:00:02 2023
Internet connection is available. Mon Dec  4 23:30:02 2023
Internet connection is available. Tue Dec  5 00:00:01 2023
Internet connection is available. Tue Dec  5 00:30:01 2023
Internet connection is available. Tue Dec  5 01:00:02 2023
Internet connection is available. Tue Dec  5 01:30:02 2023
Internet connection is available. Tue Dec  5 02:00:02 2023
Internet connection is available. Tue Dec  5 02:30:02 2023
Internet connection is available. Tue Dec  5 03:00:02 2023
Internet connection is available. Tue Dec  5 03:30:02 2023
Internet connection is available. Tue Dec  5 04:00:02 2023
Internet connection is available. Tue Dec  5 04:30:02 2023
Internet connection is available. Tue Dec  5 05:00:01 2023
Internet connection is available. Tue Dec  5 05:30:01 2023
Internet connection is available. Tue Dec  5 06:00:02 2023
Internet connection is available. Tue Dec  5 06:30:02 2023
Internet connection is available. Tue Dec  5 07:00:02 2023
Internet connection is available. Tue Dec  5 07:30:01 2023
Internet connection is available. Tue Dec  5 08:00:01 2023
Internet connection is available. Tue Dec  5 08:30:01 2023
Internet connection is available. Tue Dec  5 09:00:02 2023
Internet connection is available. Tue Dec  5 09:30:02 2023
Internet connection is available. Tue Dec  5 19:00:01 2023
Internet connection is available. Tue Dec  5 19:30:07 2023
