# cell capacitance
CAPACITANCE
# temperature; error on temperature; cell capacitance; error on capacitance
# [C]; [C]; [fF]; [fF]
-75 0.1 108.466 0.542332
-60 0.1 110.44 0.5522
-40 0.1 111.738 0.558688
-20 0.1 113.411 0.567056
0 0.1 113.011 0.565056
20 0.1 111.454 0.557269
40 0.1 110.013 0.550064

***
# relative change in dark count rate
RELATIVECHANGEDCR
# temperature; error on temperature; relative change in DCR; error on relative change in DCR
# [C]; [C]; [.]; [.]
-75 0 0.000297847 2.97847e-06
-60 0 0.000466716 4.66716e-06
-40 0 0.00212243 2.12243e-05
-20 0 0.00994156 9.94156e-05
0 0 0.0423146 0.000423146
20 0 0.186856 0.00186856
40 0 1 0.01

***
# breakdown voltage
BREAKDOWNVOLTAGE
# temperature; error on temperature; breakdown voltage; error on breakdown voltage
# [C]; [C]; [V]; [V]
-75 0.1 35.8333 0.0568622
-60 0.1 36.3379 0.0486035
-40 0.1 37.0614 0.0447921
-20 0.1 37.8496 0.0454333
0 0.1 38.5909 0.0371614
20 0.1 39.334 0.026823
40 0.1 40.0748 0.0261414

***
# gain
GAIN
# Temperature
-75
# bias; error on bias; gain; error on gain
# [V]; [V]; [1e6]; [1e6]
38.1057 0 1.60042 0
38.6057 0 1.85257 0
39.1057 0 2.15514 0
39.6057 0 2.54813 0
40.1057 0 2.88626 0
40.6057 0 3.26196 0
41.1057 0 3.60006 0
41.6057 0 3.93818 0
42.1057 0 4.23873 0
42.6057 0 4.57679 0
43.1057 0 4.52587 0

# Temperature
-60
# bias; error on bias; gain; error on gain
# [V]; [V]; [1e6]; [1e6]
38.6846 0 1.65084 0
39.1846 0 1.95344 0
39.6846 0 2.24757 0
40.1846 0 2.66084 0
40.6846 0 2.99895 0
41.1846 0 3.37466 0
41.6846 0 3.71276 0
42.1846 0 4.05089 0
42.6846 0 4.38901 0
43.1846 0 4.6895 0
43.6846 0 4.66162 0

# Temperature
-40
# bias; error on bias; gain; error on gain
# [V]; [V]; [1e6]; [1e6]
39.4564 0 1.68448 0
39.9564 0 1.98706 0
40.4564 0 2.36029 0
40.9564 0 2.69842 0
41.4564 0 3.11168 0
41.9564 0 3.44981 0
42.4564 0 3.78792 0
42.9564 0 4.12605 0
43.4564 0 4.42657 0
43.9564 0 4.80675 0
44.4564 0 5.16052 0

# Temperature
-20
# bias; error on bias; gain; error on gain
# [V]; [V]; [1e6]; [1e6]
40.2282 0 1.70129 0
40.7282 0 2.00388 0
41.2282 0 2.36031 0
41.7282 0 2.77361 0
42.2282 0 3.14936 0
42.7282 0 3.48755 0
43.2282 0 3.78815 0
43.7282 0 4.16397 0
44.2282 0 4.50211 0
44.7282 0 4.87798 0
45.2282 0 5.16105 0

# Temperature
0
# bias; error on bias; gain; error on gain
# [V]; [V]; [1e6]; [1e6]
41 0 1.70151 0
41.5 0 2.0547 0
42 0 2.36096 0
42.5 0 2.77446 0
43 0 3.15047 0
43.5 0 3.48894 0
44 0 3.82731 0
44.5 0 4.16584 0
45 0 4.50417 0
45.5 0 4.87985 0
46 0 5.23367 0

# Temperature
20
# bias; error on bias; gain; error on gain
# [V]; [V]; [1e6]; [1e6]
41.7718 0 1.70299 0
42.2718 0 2.04018 0
42.7718 0 2.36443 0
43.2718 0 2.74145 0
43.7718 0 3.1184 0
44.2718 0 3.45807 0
44.7718 0 3.79742 0
45.2718 0 4.13725 0
45.7718 0 4.47683 0
46.2718 0 4.81898 0
46.7718 0 5.17449 0

# Temperature
40
# bias; error on bias; gain; error on gain
# [V]; [V]; [1e6]; [1e6]
42.5436 0 1.71334 0
43.0436 0 2.03863 0
43.5436 0 2.35034 0
44.0436 0 2.73277 0
44.5436 0 3.07806 0
45.0436 0 3.42385 0
45.5436 0 3.7696 0
46.0436 0 4.11936 0
46.5436 0 4.43059 0
47.0436 0 4.78888 0
47.5436 0 5.04278 0

***
# dark counts
DC
# Temperature
-75
# bias; error on bias; dark count rate; error on dark count rate
# [rel OverV]; [rel OverV]; [kHz]; [kHz]
0.0634155 2.80831e-06 0.213888 0.00812495
0.077369 3.42623e-06 0.157407 0.0069701
0.0913225 4.04415e-06 0.116358 0.00599273
0.105276 4.66207e-06 0.036111 0.00333847
0.11923 5.27999e-06 0.048148 0.00385493
0.133183 5.89792e-06 0.0506172 0.00395254
0.147136 6.51584e-06 0.0836418 0.00508088
0.16109 7.13376e-06 0.0956788 0.00543419
0.175043 7.75168e-06 0.133024 0.00640756
0.188997 8.3696e-06 0.175308 0.00735577
0.20295 8.98752e-06 0.17037 0.00725143

# Temperature
-60
# bias; error on bias; dark count rate; error on dark count rate
# [rel OverV]; [rel OverV]; [kHz]; [kHz]
0.0645789 2.37705e-06 0.117592 0.00602444
0.0783386 2.88352e-06 0.155864 0.00693585
0.0920983 3.38999e-06 0.105864 0.00571612
0.105858 3.89647e-06 0.125 0.00621129
0.119618 4.40294e-06 0.166049 0.00715888
0.133377 4.90941e-06 0.194135 0.00774068
0.147137 5.41589e-06 0.266357 0.00906691
0.160897 5.92236e-06 0.300925 0.00963732
0.174657 6.42883e-06 0.384258 0.0108903
0.188416 6.93531e-06 0.461419 0.0119337
0.202176 7.44178e-06 0.534258 0.0128411

# Temperature
-40
# bias; error on bias; dark count rate; error on dark count rate
# [rel OverV]; [rel OverV]; [kHz]; [kHz]
0.0646227 2.10738e-06 0.472221 0.0120726
0.0781138 2.54733e-06 0.597221 0.0135767
0.091605 2.98729e-06 0.562962 0.0131815
0.105096 3.42724e-06 0.63364 0.0139845
0.118587 3.86719e-06 0.761727 0.015333
0.132078 4.30715e-06 0.980862 0.0173993
0.145569 4.7471e-06 1.16203 0.0189381
0.159061 5.18705e-06 1.38518 0.0206767
0.172552 5.627e-06 1.64691 0.0225456
0.186043 6.06696e-06 1.99722 0.0248279
0.199534 6.50691e-06 2.27746 0.0265126

# Temperature
-20
# bias; error on bias; dark count rate; error on dark count rate
# [rel OverV]; [rel OverV]; [kHz]; [kHz]
0.0628431 1.99301e-06 1.78364 0.0234628
0.0760533 2.41196e-06 2.34444 0.0268996
0.0892634 2.8309e-06 2.6324 0.0285038
0.102474 3.24985e-06 3.09598 0.0309119
0.115684 3.6688e-06 3.90555 0.0347191
0.128894 4.08775e-06 4.58209 0.0376061
0.142104 4.5067e-06 5.39165 0.0407932
0.155314 4.92565e-06 6.28764 0.0440525
0.168524 5.34459e-06 7.42128 0.0478593
0.181735 5.76354e-06 8.72467 0.0518921
0.194945 6.18249e-06 10.662 0.0573649

# Temperature
0
# bias; error on bias; dark count rate; error on dark count rate
# [rel OverV]; [rel OverV]; [kHz]; [kHz]
0.0624253 1.55769e-06 7.47776 0.0480411
0.0753817 1.88099e-06 9.80491 0.0550109
0.0883381 2.20429e-06 11.6953 0.0600805
0.101295 2.52759e-06 13.7635 0.0651767
0.114251 2.85089e-06 16.4089 0.0711651
0.127207 3.17419e-06 19.4231 0.0774259
0.140164 3.49749e-06 22.4188 0.0831827
0.15312 3.82079e-06 25.9459 0.0894873
0.166077 4.14409e-06 29.7916 0.0958901
0.179033 4.46739e-06 35.0978 0.10408
0.191989 4.79069e-06 41.0456 0.112554

# Temperature
20
# bias; error on bias; dark count rate; error on dark count rate
# [rel OverV]; [rel OverV]; [kHz]; [kHz]
0.061978 1.07451e-06 36.5709 0.106242
0.0746896 1.29489e-06 46.5116 0.119814
0.0874013 1.51527e-06 54.7162 0.129953
0.100113 1.73565e-06 63.8113 0.140338
0.112825 1.95603e-06 71.3492 0.148396
0.125536 2.17641e-06 82.5949 0.159663
0.138248 2.39679e-06 94.1223 0.170441
0.15096 2.61718e-06 107.512 0.182161
0.163671 2.83756e-06 122.531 0.194469
0.176383 3.05794e-06 141.566 0.209029
0.189095 3.27832e-06 162.929 0.224247

# Temperature
40
# bias; error on bias; dark count rate; error on dark count rate
# [rel OverV]; [rel OverV]; [kHz]; [kHz]
0.0616048 1.00277e-06 227.137 0.264772
0.0740814 1.20586e-06 284.526 0.296339
0.0865581 1.40894e-06 321.037 0.314778
0.0990348 1.61203e-06 360.011 0.333338
0.111511 1.81512e-06 399.185 0.351006
0.123988 2.01821e-06 440.33 0.368652
0.136465 2.2213e-06 488.703 0.388373
0.148941 2.42439e-06 532.602 0.405442
0.161418 2.62747e-06 575.935 0.421613
0.173895 2.83056e-06 650.815 0.448183
0.186371 3.03365e-06 714.214 0.469506

***
# afterpulsing
AP
# Temperature
-75
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.0634155 0 3.67873 0.335998
0.077369 0 5.40628 0.400146
0.0913225 0 6.23422 0.365971
0.105276 0 8.9286 0.428775
0.11923 0 11.813 0.473836
0.133183 0 17.096 0.49335
0.147136 0 23.8112 0.599911
0.16109 0 29.392 0.649059
0.175043 0 38.4621 0.693943
0.188997 0 48.0972 0.828677
0.20295 0 55.3455 0.859988

# Temperature
-60
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.0645789 0 2.73332 0.249396
0.0783386 0 4.27911 0.270992
0.0920983 0 6.60626 0.42553
0.105858 0 8.75859 0.411927
0.119618 0 11.8611 0.472932
0.133377 0 16.5476 0.505676
0.147137 0 22.7036 0.593931
0.160897 0 24.8699 0.590116
0.174657 0 36.6892 0.693531
0.188416 0 45.5073 0.774173
0.202176 0 57.6394 0.96428

# Temperature
-40
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.0646227 0 3.66707 0.39316
0.0781138 0 4.22622 0.26269
0.091605 0 5.74388 0.396229
0.105096 0 7.64245 0.440441
0.118587 0 12.113 0.43817
0.132078 0 15.1784 0.481542
0.145569 0 21.7035 0.571973
0.159061 0 27.7229 0.654234
0.172552 0 31.5702 0.649462
0.186043 0 42.6107 0.783824
0.199534 0 46.0886 0.833112

# Temperature
-20
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.0628431 0 2.62368 0.186996
0.0760533 0 3.36906 0.272081
0.0892634 0 5.64835 0.334371
0.102474 0 7.07896 0.384916
0.115684 0 11.2787 0.42696
0.128894 0 14.3693 0.422793
0.142104 0 19.7119 0.431993
0.155314 0 24.3966 0.417862
0.168524 0 29.4295 0.459022
0.181735 0 36.2488 0.42755
0.194945 0 48.834 0.512584

# Temperature
0
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.0624253 0 1.99657 0.303709
0.0753817 0 3.55581 0.293576
0.0883381 0 4.79104 0.280178
0.101295 0 7.56353 0.269631
0.114251 0 9.8765 0.302139
0.127207 0 13.9035 0.322882
0.140164 0 17.3965 0.345989
0.15312 0 21.9679 0.353747
0.166077 0 26.8502 0.338749
0.179033 0 34.8462 0.342457
0.191989 0 42.9599 0.344132

# Temperature
20
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.061978 0 2.05236 0.280786
0.0746896 0 3.44411 0.292403
0.0874013 0 4.66037 0.293183
0.100113 0 6.86528 0.208505
0.112825 0 9.22945 0.246064
0.125536 0 12.2927 0.281547
0.138248 0 16.1859 0.282451
0.15096 0 20.0238 0.30452
0.163671 0 24.7318 0.326286
0.176383 0 31.2064 0.310545
0.189095 0 37.7976 0.339581

# Temperature
40
# bias; error on bias; afterpulsing; error on afterpulsing
# [rel OverV]; [rel OverV]; [%]; [%]
0.0616048 0 1.30445 0.256907
0.0740814 0 1.99976 0.208159
0.0865581 0 3.18299 0.254717
0.0990348 0 4.92232 0.223914
0.111511 0 7.40363 0.267315
0.123988 0 9.67899 0.332693
0.136465 0 11.9774 0.306973
0.148941 0 14.3414 0.335757
0.161418 0 16.4892 0.337361
0.173895 0 19.7044 0.223019
0.186371 0 24.9855 0.224958

***
# delayed optical crosstalk
DOC
# Temperature
-75
# bias; error on bias; delayed optical crosstalk; error on delayed optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0634155 0 1.75829 0.142805
0.077369 0 3.19032 0.188565
0.0913225 0 4.66882 0.22981
0.105276 0 6.65725 0.263523
0.11923 0 8.87072 0.307326
0.133183 0 11.2888 0.338809
0.147136 0 13.9714 0.390633
0.16109 0 16.3085 0.426483
0.175043 0 20.064 0.451418
0.188997 0 20.6347 0.489541
0.20295 0 25.4824 0.558487

# Temperature
-60
# bias; error on bias; delayed optical crosstalk; error on delayed optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0645789 0 1.76288 0.101397
0.0783386 0 3.38404 0.132777
0.0920983 0 4.67916 0.226609
0.105858 0 6.71837 0.264558
0.119618 0 8.66289 0.310264
0.133377 0 10.0233 0.33067
0.147137 0 12.5593 0.38039
0.160897 0 15.1445 0.4004
0.174657 0 17.3829 0.433034
0.188416 0 20.7025 0.489361
0.202176 0 24.9494 0.61121

# Temperature
-40
# bias; error on bias; delayed optical crosstalk; error on delayed optical crosstalk
# [rel OverV]; [rel OverV]; [%]; [%]
0.0646227 0 1.69899 0.136022
0.0781138 0 3.19018 0.132794
0.091605 0 4.60149 0.222496
0.105096 0 6.08536 0.257965
0.118587 0 8.30266 0.300694
0.132078 0 9.56396 0.319784
0.145569 0 12.6841 0.377169
0.159061 0 14.5205 0.40222
