Time(UTC) TiltAngle(Deg)
0 -6.13
120 -6.48
240 -6.48
360 -6.13
480 -6.57
600 -6.48
720 -6.8
840 -6.16
960 -6.3
1080 -6.48
1200 -6.62
1320 -6.3
1440 -6.25
1560 -6.16
1680 -6.3
1800 -6.13
1920 -6.13
2040 -6.13
2160 -5.98
2280 -6.04
2400 -5.98
2520 -6.13
2640 -5.98
2760 -5.98
2880 -6.13
3000 -6.13
3120 -6.13
3240 -6.13
3360 -5.98
3480 -5.98
3600 -6.13
3720 -6.13
3840 -6.13
3960 -6.13
4080 -6.13
4200 -6.13
4320 -6.13
4440 -6.13
4560 -5.98
4680 -6.13
4800 -6.13
4920 -6.13
5040 -6.13
5160 -5.98
5280 -6.13
5400 -6.13
5520 -6.13
5640 -6.13
5760 -6.13
5880 -6.13
6000 -6.13
6120 -6.13
6240 -6.13
6360 -6.13
6480 -6.13
6600 -6.13
6720 -6.13
6840 -6.13
6960 -6.13
7080 -6.13
7200 -6.13
7320 -6.13
7440 -6.13
7560 -6.13
7680 -6.13
7800 -6.13
7920 -6.13
8040 -6.13
8160 -6.13
8280 -6.13
8400 -6.13
8520 -6.13
8640 -6.13
8760 -6.13
8880 -6.13
9000 -6.13
9120 -6.13
9240 -6.13
9360 -6.13
9480 -6.13
9720 -6.13
9960 -6.13
10080 -6.13
10200 -6.13
10320 -6.13
10440 -6.13
10560 -6.13
10680 -6.13
10800 -6.13
10920 -6.13
11040 -6.13
11160 -6.13
11280 -6.13
11400 -6.13
11520 -6.13
11640 -6.13
11760 -6.13
11880 -6.13
12000 -6.13
12120 -6.13
12240 -6.13
12360 -6.13
12480 -6.13
12600 -6.13
12720 -6.13
12840 -6.13
12960 -6.13
13080 -6.13
13200 -6.13
13320 -6.13
13440 -6.13
13560 -6.13
13680 -6.13
13800 -6.13
13920 -6.13
14040 -6.13
14160 -6.13
14280 -6.13
14400 -6.13
14520 -6.13
14640 -6.13
14760 -6.13
14880 -6.13
15000 -6.13
15120 -6.13
15240 -6.13
15360 -6.13
15480 -6.13
15600 -6.13
15720 -6.13
15840 -6.13
15960 -6.13
16080 -6.13
