#Pixel #Amplitude(ADC/pe) #ErrAmplitude(ADC/pe) #Charge(ADC/pe) #ErrCharge(ADC/pe)
0 9.01262 0.158959 26.5392 0.458701
1 9.22952 0.161996 27.193 0.468952
2 9.16628 0.163494 27.0116 0.47445
3 8.86708 0.14715 26.0915 0.425922
4 9.17326 0.172261 27.042 0.501965
5 8.93721 0.1542 26.3201 0.445841
6 8.99905 0.156433 26.5171 0.453076
7 8.9078 0.163334 26.2418 0.477084
8 7.0131 0.125744 20.7101 0.367087
9 8.72511 0.164252 25.757 0.472292
10 8.83125 0.16642 26.0605 0.481102
11 8.71437 0.162055 25.705 0.466998
12 8.50788 0.159109 25.1338 0.461046
13 8.5735 0.165476 25.3212 0.478194
14 8.34999 0.158885 24.6247 0.4584
15 7.79827 0.152046 23.0839 0.44269
16 9.18759 0.160442 27.0697 0.46163
17 9.28952 0.160801 27.3683 0.464645
18 9.25643 0.158892 27.2448 0.456749
19 9.08096 0.160959 26.713 0.463904
20 9.36607 0.16365 27.6073 0.473685
21 9.57218 0.165855 28.2435 0.48141
22 9.45616 0.155894 27.8632 0.450035
23 9.6726 0.166293 28.5095 0.485334
24 8.65622 0.165552 25.5277 0.47889
25 8.80785 0.162045 25.9784 0.469499
26 8.79929 0.179868 25.9434 0.521574
27 8.5624 0.168441 25.2309 0.489936
28 8.97853 0.169585 26.4928 0.491844
29 9.16879 0.177768 27.0784 0.514733
30 9.20431 0.172036 27.1714 0.499722
31 9.34064 0.164082 27.5941 0.473226
32 10.0855 0.103657 29.6902 0.362688
33 10.0463 0.114077 29.5882 0.391115
34 10.1615 0.105318 29.9387 0.374424
35 10.0641 0.0581609 29.8709 0.279377
36 10.0777 0.121412 29.626 0.405597
37 9.92884 0.13744 29.1436 0.442323
38 9.75231 0.122463 28.6058 0.385146
39 9.92995 0.135283 29.1571 0.438099
40 9.85374 0.167111 28.9295 0.506845
41 9.83239 0.179555 28.8058 0.525033
42 9.97089 0.15369 29.3503 0.484348
43 9.92093 0.122891 29.2311 0.402045
44 9.69946 0.188461 28.3411 0.552265
45 9.4113 0.141555 27.67 0.426607
46 9.63825 0.193277 28.1084 0.563624
47 9.40716 0.179417 27.4727 0.526006
48 9.94603 0.0712135 29.5611 0.303955
49 10.1206 0.11169 29.9353 0.3915
50 9.85543 0.0677335 29.3304 0.300803
51 10.0156 0.129564 29.5304 0.427251
52 9.98144 0.0787455 29.5903 0.319659
53 10.0255 0.0673879 29.6586 0.277825
54 10.1516 0.0641036 30.1574 0.279946
55 10.0189 0.0144388 29.9186 0.193994
56 9.88508 0.132021 29.2522 0.431689
57 9.60872 0.178265 28.2303 0.52138
58 9.73848 0.178511 28.7033 0.536211
59 9.67355 0.189393 28.4871 0.556215
60 9.71072 0.16932 28.6796 0.502104
61 9.85698 0.139281 29.1359 0.428125
62 9.93542 0.139871 29.4067 0.437643
63 9.89099 0.0970204 29.3373 0.332257
64 9.87561 0.154693 29.0648 0.447926
65 9.82592 0.152375 28.9409 0.441829
66 10.1243 0.162221 29.8469 0.476389
67 10.0287 0.16572 29.529 0.478722
68 9.67519 0.143452 28.4643 0.409976
69 9.83149 0.159322 28.8908 0.46152
70 9.93215 0.168092 29.2579 0.492728
71 9.78863 0.153319 28.8143 0.443787
72 9.27922 0.148743 27.3254 0.428766
73 9.42914 0.155748 27.7465 0.448136
74 9.46536 0.153699 27.9036 0.445456
75 9.59125 0.163869 28.24 0.471407
76 9.2391 0.155624 27.1521 0.446245
77 9.0554 0.15169 26.6424 0.436766
78 9.23646 0.167391 27.2627 0.487633
79 10 0.5 27.5 1.375
80 9.88088 0.17284 29.1178 0.497406
81 9.83633 0.172845 28.9507 0.503921
82 9.65945 0.155763 28.4625 0.45646
83 9.605 0.167041 28.2843 0.485237
84 9.66832 0.155693 28.516 0.451998
85 9.83408 0.157536 28.9179 0.453686
86 10.0509 0.170513 29.6316 0.496737
87 9.73669 0.148667 28.6882 0.431704
88 9.20033 0.160968 27.0308 0.450219
89 8.84951 0.136879 26.4644 0.440298
90 8.59905 0.114557 25.3978 0.329176
91 8.18026 0.0808324 23.7837 0.097622
92 9.37743 0.176472 27.5913 0.506386
93 9.42366 0.166765 27.7892 0.483839
94 9.63661 0.177834 28.39 0.512853
95 9.83103 0.171114 29.0065 0.500609
96 9.34767 0.164256 27.4769 0.468756
97 9.48684 0.159441 27.9293 0.455913
98 9.51764 0.173662 27.9558 0.497216
99 9.54281 0.172055 28.099 0.491941
100 9.29307 0.164228 27.278 0.46721
101 9.40379 0.171248 27.6572 0.493077
102 9.18515 0.163917 26.9585 0.467138
103 9.28488 0.16169 27.3249 0.468547
104 8.5166 0.141149 25.0666 0.398959
105 8.92391 0.14408 26.3182 0.411736
106 9.14406 0.187522 26.9381 0.537092
107 9.1452 0.174214 26.9349 0.497358
108 8.63285 0.165007 25.4103 0.477463
109 8.65327 0.168127 25.4564 0.480599
110 8.67291 0.182517 25.4334 0.519407
111 8.48791 0.127881 25.1556 0.415215
112 9.44202 0.169953 27.8375 0.484902
113 9.10928 0.147084 26.8876 0.425269
114 9.17485 0.162965 27.1337 0.477183
115 10 0.5 27.5 1.375
116 9.32225 0.159137 27.4971 0.457666
117 9.39797 0.166305 27.7088 0.476447
118 9.19524 0.119452 27.254 0.358061
119 9.32253 0.133795 27.4912 0.380329
120 9.15891 0.199493 27.007 0.574244
121 9.16209 0.21108 26.9935 0.604538
122 9.04805 0.210101 26.6689 0.600848
123 8.92657 0.225239 26.2738 0.645171
124 8.80306 0.175535 25.9901 0.50569
125 8.8681 0.166587 26.2599 0.482846
126 8.95732 0.166829 26.5211 0.482937
127 9.43153 0.188895 27.8911 0.546677
128 10 0.5 27.5 1.375
129 10 0.5 27.5 1.375
130 8.03188 0.177 23.5999 0.504887
131 7.92137 0.162367 23.2993 0.464681
132 10 0.5 27.5 1.375
133 10 0.5 27.5 1.375
134 10 0.5 27.5 1.375
135 10 0.5 27.5 1.375
136 10 0.5 27.5 1.375
137 10 0.5 27.5 1.375
138 10 0.5 27.5 1.375
139 8.83288 0.181596 25.9627 0.519917
140 10 0.5 27.5 1.375
141 10 0.5 27.5 1.375
142 10 0.5 27.5 1.375
143 10 0.5 27.5 1.375
144 10 0.5 27.5 1.375
145 8.72331 0.177962 25.7012 0.506378
146 8.89864 0.177585 26.3246 0.512846
147 9.03812 0.177445 26.7143 0.50349
148 10 0.5 27.5 1.375
