timestamp latitude longitude altitude sunAzimuth sunElevation moonAzimuth moonElevation horizon azimuth
877 -44.726 169.316 5012 6.508 26.756 269.986 23.485 -2.271 203.9
906 -44.727 169.32 5371 6.376 26.765 269.904 23.398 -2.351 203.9
993 -44.729 169.336 5754 5.975 26.792 269.652 23.132 -2.433 28.5
1085 -44.731 169.352 6482 5.551 26.818 269.387 22.852 -2.582 154.9
1234 -44.733 169.382 7251 4.860 26.858 268.956 22.396 -2.731 222
1294 -44.735 169.397 7637 4.578 26.871 268.781 22.211 -2.802 33.7
1323 -44.735 169.401 8036 4.445 26.878 268.698 22.123 -2.875 33.7
1414 -44.737 169.426 8437 4.016 26.897 268.432 21.840 -2.945 123.3
1474 -44.738 169.442 8837 3.733 26.908 268.256 21.654 -3.014 288.3
1563 -44.739 169.463 9215 3.316 26.924 267.998 21.379 -3.078 106.2
1624 -44.74 169.475 9492 3.032 26.933 267.823 21.193 -3.124 72.8
1684 -44.742 169.492 10005 2.748 26.941 267.648 21.006 -3.207 70.9
1744 -44.743 169.51 10385 2.463 26.948 267.472 20.819 -3.267 16.3
1804 -44.745 169.53 10759 2.175 26.954 267.296 20.630 -3.326 304.2
1864 -44.747 169.55 11153 1.888 26.959 267.119 20.441 -3.386 291.7
1894 -44.748 169.556 11543 1.748 26.960 267.034 20.349 -3.444 86.7
2014 -44.751 169.594 11930 1.175 26.967 266.682 19.973 -3.502 284.8
2120 -44.753 169.618 12261 0.679 26.970 266.379 19.648 -3.550 147.9
2180 -44.756 169.637 12369 0.392 26.968 266.204 19.460 -3.565 147.9
2240 -44.759 169.655 12545 0.107 26.966 266.030 19.273 -3.591 147.9
2331 -44.762 169.679 12698 359.677 26.962 265.768 18.991 -3.612 147.9
2420 -44.765 169.704 12876 359.255 26.956 265.512 18.715 -3.638 147.9
2482 -44.767 169.717 12998 358.966 26.951 265.336 18.526 -3.655 147.9
2511 -44.767 169.73 13188 358.824 26.949 265.249 18.433 -3.681 147.9
2602 -44.769 169.753 13366 358.396 26.940 264.989 18.152 -3.706 60.6
2661 -44.771 169.764 13606 358.122 26.932 264.823 17.974 -3.739 60.6
2722 -44.774 169.782 13791 357.832 26.922 264.647 17.784 -3.764 60.6
2811 -44.774 169.807 14188 357.411 26.910 264.391 17.509 -3.818 60.6
2901 -44.777 169.829 14366 356.989 26.893 264.135 17.232 -3.842 60.6
2961 -44.777 169.84 14576 356.711 26.883 263.966 17.051 -3.870 60.6
3081 -44.778 169.866 15080 356.152 26.859 263.627 16.685 -3.936 60.6
3111 -44.779 169.874 15338 356.010 26.851 263.541 16.593 -3.970 60.6
3202 -44.781 169.89 15562 355.591 26.828 263.287 16.319 -3.998 60.6
3262 -44.785 169.904 15736 355.310 26.809 263.118 16.136 -4.021 60.6
3321 -44.788 169.914 15888 355.039 26.791 262.954 15.959 -4.040 60.6
3381 -44.791 169.928 16033 354.759 26.771 262.785 15.776 -4.058 60.6
3441 -44.795 169.942 16217 354.479 26.749 262.616 15.593 -4.081 60.6
3682 -44.809 169.993 17225 353.362 26.655 261.941 14.864 -4.206 140
3742 -44.811 170.006 17486 353.083 26.631 261.773 14.683 -4.238 140
3772 -44.813 170.013 17741 352.944 26.618 261.688 14.592 -4.269 140
3862 -44.817 170.029 17965 352.531 26.578 261.438 14.322 -4.295 140
3951 -44.822 170.043 18200 352.125 26.537 261.193 14.057 -4.323 140
4012 -44.825 170.05 18378 351.849 26.508 261.026 13.878 -4.344 140
4071 -44.829 170.064 18684 351.576 26.477 260.860 13.699 -4.380 140
4102 -44.83 170.07 18931 351.433 26.462 260.774 13.606 -4.409 140
4372 -44.842 170.116 19864 350.202 26.317 260.025 12.802 -4.516 315.3
4432 -44.845 170.126 20116 349.929 26.282 259.859 12.624 -4.545 315.3
4492 -44.847 170.131 20343 349.661 26.248 259.696 12.449 -4.570 315.3
4552 -44.849 170.138 20597 349.392 26.212 259.532 12.273 -4.598 315.3
4581 -44.849 170.141 20884 349.262 26.196 259.453 12.188 -4.630 315.3
4672 -44.852 170.148 21170 348.858 26.141 259.206 11.924 -4.662 315.3
4732 -44.856 170.155 21438 348.590 26.101 259.042 11.749 -4.691 315.3
4792 -44.859 170.164 21685 348.319 26.061 258.877 11.572 -4.718 315.3
4852 -44.861 170.175 21955 348.047 26.021 258.710 11.394 -4.747 315.3
4912 -44.863 170.18 22272 347.781 25.981 258.547 11.220 -4.781 315.3
4972 -44.865 170.188 22592 347.512 25.940 258.382 11.044 -4.815 315.3
5001 -44.865 170.191 22890 347.383 25.921 258.303 10.959 -4.847 315.3
5092 -44.868 170.203 23139 346.977 25.856 258.052 10.693 -4.873 315.3
5152 -44.871 170.214 23384 346.706 25.811 257.885 10.516 -4.899 315.3
5212 -44.876 170.225 23591 346.435 25.763 257.719 10.339 -4.920 172.4
5272 -44.88 170.239 23741 346.162 25.715 257.550 10.160 -4.936 172.4
5452 -44.89 170.278 24608 345.346 25.567 257.045 9.625 -5.025 172.4
5543 -44.89 170.295 24874 344.937 25.495 256.790 9.356 -5.052 172.4
5602 -44.891 170.307 25321 344.671 25.446 256.625 9.182 -5.097 172.4
5692 -44.892 170.325 25967 344.267 25.370 256.372 8.916 -5.161 172.4
5782 -44.893 170.342 26296 343.864 25.292 256.120 8.651 -5.194 172.4
5962 -44.889 170.393 27311 343.042 25.134 255.603 8.108 -5.293 172.4
5992 -44.888 170.399 27622 342.908 25.108 255.518 8.019 -5.323 172.4
6052 -44.887 170.416 27988 342.635 25.052 255.346 7.839 -5.358 66.4
6142 -44.886 170.438 28382 342.229 24.968 255.090 7.571 -5.395 66.4
6172 -44.886 170.443 28751 342.097 24.940 255.006 7.484 -5.430 66.4
6262 -44.884 170.47 29092 341.687 24.853 254.746 7.212 -5.462 66.4
6322 -44.881 170.491 29395 341.411 24.795 254.570 7.029 -5.490 66.4
6382 -44.878 170.516 29752 341.132 24.735 254.391 6.844 -5.523 66.4
6442 -44.875 170.544 30096 340.849 24.674 254.211 6.656 -5.555 66.4
6502 -44.873 170.563 30353 340.577 24.612 254.036 6.475 -5.579 66.4
6562 -44.87 170.59 30692 340.296 24.549 253.856 6.289 -5.610 66.4
6622 -44.867 170.618 30950 340.015 24.485 253.675 6.102 -5.633 66.4
6742 -44.857 170.683 31523 339.445 24.355 253.307 5.721 -5.685 66.4
6773 -44.855 170.694 31788 339.303 24.322 253.216 5.626 -5.709 66.4
6861 -44.844 170.743 32077 338.884 24.227 252.944 5.346 -5.734 16.2
6922 -44.837 170.778 32396 338.593 24.159 252.754 5.151 -5.763 16.2
7012 -44.829 170.826 32640 338.169 24.056 252.478 4.866 -5.784 16.2
7072 -44.824 170.862 32830 337.883 23.984 252.291 4.674 -5.801 16.2
