timestamp TriggeredEvents TempFlag EMON1 EMON2 HV1 HV2 HV3 HV4 HV5 HV6 HV7 HV8 HVCur1 HVCur2 HVCur3 HVCur4 HVCur5 HVCur6 HVCur7 HVCur8 UCTemp#1 UCTemp#2 UCTemp#3 UCTemp#4 UCTemp#5 UCTemp#6 UCTemp#7 UCTemp#8 UCTemp#9 UCTemp#10 UCTemp#11 UCTemp#12 UCTemp#13 UCTemp#14 UCTemp#15 UCTemp#16 UCTemp#17 UCTemp#18 UCTemp#19 UCTemp#20 UCTemp#21 UCTemp#22 UCTemp#23 UCTemp#24 UCTemp#25 UCTemp#26 UCTemp#27 UCTemp#28 UCTemp#29 UCTemp#30 UCTemp#31 UCTemp#32 CPUTemp CoBoTemp RadiatorTemp LVPSVoltage LVPSCurrent PumpVoltage PumpCurrent SIABMPWR1 SIABMPWR2 SIABMPWR3 SIABMPWR4 SIABMPWR5 SIABMPWR6 SIABMPWR7 SIABMPWR8 SIABMPWR9 SIABMPWR10 SIABMPWR11 SIABMPWR12 SIABMPWR13 SIABMPWR14 SIABMPWR15 SIABMPWR16 SIABMPWR17 SIABMPWR18 SIABMPWR19 SIABMPWR20 SIABMPWR21 SIABMPWR22 SIABMPWR23 SIABMPWR24 SIABMPWR25 SIABMPWR26 SIABMPWR27 SIABMPWR28 SIABMPWR29 SIABMPWR30 SIABMPWR31 SIABMPWR32 HVSW1 HVSW2 HVSW3 HVSW4 HVSW5 HVSW6 HVSW7 HVSW8 HVSW9 HVSW10 HVSW11 HVSW12 HVSW13 HVSW14 HVSW15 HVSW16 HVSW17 HVSW18 HVSW19 HVSW20 HVSW21 HVSW22 HVSW23 HVSW24 HVSW25 HVSW26 HVSW27 HVSW28 HVSW29 HVSW30 HVSW31 HVSW32 SiPMTemp#1 SiPMTemp#2 SiPMTemp#3 SiPMTemp#4 SiPMTemp#5 SiPMTemp#6 SiPMTemp#7 SiPMTemp#8 SiPMTemp#9 SiPMTemp#10 SiPMTemp#11 SiPMTemp#12 SiPMTemp#13 SiPMTemp#14 SiPMTemp#15 SiPMTemp#16 SiPMTemp#17 SiPMTemp#18 SiPMTemp#19 SiPMTemp#20 SiPMTemp#21 SiPMTemp#22 SiPMTemp#23 SiPMTemp#24 SiPMTemp#25 SiPMTemp#26 SiPMTemp#27 SiPMTemp#28 SiPMTemp#29 SiPMTemp#30 SiPMTemp#31 SiPMTemp#32
38 0 0 4119 4114 41.958 42.082 42.128 42.273 41.948 42.066 42.114 42.27 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 16.3 15.6 17.7 15.4 16.3 16.4 18.5 17 17.5 15.8 17.6 16.9 17.1 18.6 16.4 18.1 15.3 16.5 18.5 16.5 15.9 17.1 19.9 17.9 14.8 16.1 16.9 17.6 18.3 16.4 16.7 18.3 13 18 9 26.2 2100 26.3 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5
68 0 1 4119 4114 41.961 42.084 42.126 42.272 41.946 42.067 42.115 42.271 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 16.3 15.6 17.7 15.4 16.3 16.4 18.5 17 17.5 15.8 17.6 16.9 17.1 18.6 16.4 18.1 15.3 16.5 18.5 16.5 15.9 17.1 19.9 17.9 14.8 16.1 16.9 17.6 18.3 16.4 16.7 18.3 13 17 10 26.2 2089 26.3 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5
98 0 0 4119 4114 41.959 42.08 42.126 42.273 41.947 42.068 42.112 42.271 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 16.3 15.6 14.2 15.4 16.3 16.4 18.5 17 17.5 15.8 17.6 16.9 17.1 18.6 19.8 18.1 15.3 16.5 18.5 16.5 15.9 17.1 19.9 17.9 14.8 16.1 16.9 17.6 18.3 16.4 16.7 18.3 14 17 8 26.1 2089 26.3 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5
128 0 1 4119 4114 41.958 42.083 42.126 42.271 41.949 42.066 42.115 42.271 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 16.3 15.6 14.2 15.4 16.3 16.4 18.5 17 17.5 15.8 17.6 16.9 17.1 18.6 19.8 18.1 15.3 16.5 18.5 16.5 15.9 17.1 19.9 17.9 14.8 16.1 16.9 17.6 18.3 16.4 16.7 18.3 14 17 10 26.1 2089 26.3 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5
158 0 0 4119 4114 41.959 42.083 42.126 42.274 41.946 42.064 42.112 42.271 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 16.3 15.6 14.2 15.4 16.3 16.4 18.5 17 17.5 15.8 17.6 16.9 17.1 18.6 16.4 18.1 15.3 16.5 18.5 16.5 15.9 17.1 19.9 17.9 14.8 16.1 16.9 17.6 18.3 16.4 16.7 18.3 12 19 5 26.4 2070 26.5 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5
188 0 1 4119 4114 41.958 42.081 42.126 42.272 41.949 42.069 42.114 42.27 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 16.3 15.6 14.2 15.4 16.3 16.4 18.5 17 17.5 15.8 17.6 16.9 17.1 18.6 16.4 18.1 15.3 16.5 18.5 16.5 15.9 17.1 19.9 17.9 14.8 16.1 16.9 17.6 18.3 16.4 16.7 18.3 14 18 6 26.2 2080 26.4 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5
218 0 0 4119 4114 41.957 42.081 42.125 42.273 41.946 42.065 42.112 42.27 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 16.3 15.6 14.2 15.4 16.3 16.4 18.5 17 17.5 15.8 17.6 16.9 17.1 18.6 19.8 14.7 15.3 16.5 18.5 16.5 15.9 17.1 19.9 17.9 14.8 16.1 16.9 17.6 18.3 16.4 16.7 18.3 14 18 2 26.4 2070 26.5 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5
248 0 1 4119 4114 41.96 42.084 42.125 42.274 41.947 42.065 42.114 42.27 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 16.3 15.6 14.2 15.4 16.3 16.4 18.5 17 17.5 15.8 17.6 16.9 17.1 18.6 19.8 14.7 15.3 16.5 18.5 16.5 15.9 17.1 19.9 17.9 14.8 16.1 16.9 17.6 18.3 16.4 16.7 18.3 13 18 2 26.5 2050 26.6 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5
278 0 0 4119 4114 41.958 42.08 42.128 42.273 41.948 42.066 42.113 42.271 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 12.9 15.6 14.2 15.4 16.3 16.4 15.1 17 17.5 15.8 17.6 16.9 17.1 18.6 16.4 14.7 15.3 16.5 18.5 16.5 15.9 17.1 16.7 17.9 14.8 16.1 16.9 17.6 18.3 16.4 16.7 15 13 18 2 26.6 2050 26.8 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5
308 0 1 4119 4114 41.96 42.08 42.125 42.272 41.947 42.068 42.112 42.271 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 12.9 15.6 14.2 15.4 16.3 16.4 15.1 17 17.5 15.8 17.6 16.9 17.1 18.6 16.4 14.7 15.3 16.5 18.5 16.5 15.9 17.1 16.7 17.9 14.8 16.1 16.9 17.6 18.3 16.4 16.7 15 13 18 0 26.3 2080 26.5 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5 -11.5
