0,10,20,30,40,50,60,70,80,90,100
44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5
41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5
41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5
41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5
41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5
41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5
41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5
44.0,44.0,44.0,44.0,44.0,44.0,44.0,41.5,41.5,41.5,41.5
44.0,44.0,44.0,44.0,44.0,44.0,44.0,41.5,41.5,41.5,41.5
44.0,44.0,44.0,44.0,44.0,44.0,44.0,41.5,41.5,41.5,41.5
44.0,44.0,44.0,44.0,44.0,44.0,44.0,41.5,41.5,41.5,41.5
44.0,44.0,44.0,44.0,44.0,44.0,44.0,41.5,41.5,41.5,41.5
44.0,44.0,44.0,44.0,44.0,44.0,44.0,41.5,41.5,41.5,41.5
