,Start Date,Start Time,End Date,End Time,Total Time (min)
0,2024-01-01,12:22:25,2024-01-01,13:11:37,49.2
1,2024-01-02,12:18:29,2024-01-02,13:07:41,49.2
2,2024-01-03,12:14:33,2024-01-03,13:03:45,49.2
3,2024-01-04,12:10:38,2024-01-04,12:59:49,49.18333333333333
4,2024-01-05,12:06:42,2024-01-05,12:55:53,49.18333333333333
5,2024-01-06,12:02:46,2024-01-06,12:51:57,49.18333333333333
6,2024-01-07,11:58:50,2024-01-07,12:48:01,49.18333333333333
7,2024-01-08,11:54:54,2024-01-08,12:44:05,49.18333333333333
8,2024-01-09,11:50:58,2024-01-09,12:40:09,49.18333333333333
9,2024-01-10,11:47:02,2024-01-10,12:36:13,49.18333333333333
10,2024-01-11,11:43:06,2024-01-11,12:32:18,49.2
11,2024-01-12,11:39:10,2024-01-12,12:28:22,49.2
12,2024-01-13,11:35:14,2024-01-13,12:24:26,49.2
13,2024-01-14,11:31:18,2024-01-14,12:20:30,49.2
14,2024-01-15,11:27:22,2024-01-15,12:16:34,49.2
15,2024-01-16,11:23:27,2024-01-16,12:12:38,49.18333333333333
16,2024-01-17,11:19:31,2024-01-17,12:08:42,49.18333333333333
17,2024-01-18,11:15:35,2024-01-18,12:04:46,49.18333333333333
18,2024-01-19,11:11:39,2024-01-19,12:00:50,49.18333333333333
19,2024-01-20,11:07:43,2024-01-20,11:56:54,49.18333333333333
20,2024-01-21,11:03:47,2024-01-21,11:52:58,49.18333333333333
21,2024-01-22,10:59:51,2024-01-22,11:49:02,49.18333333333333
22,2024-01-23,10:55:55,2024-01-23,11:45:07,49.2
23,2024-01-24,10:51:59,2024-01-24,11:41:11,49.2
24,2024-01-25,10:48:03,2024-01-25,11:37:15,49.2
25,2024-01-26,10:44:07,2024-01-26,11:33:19,49.2
26,2024-01-27,10:40:11,2024-01-27,11:29:23,49.2
27,2024-01-28,10:36:16,2024-01-28,11:25:27,49.18333333333333
28,2024-01-29,10:32:20,2024-01-29,11:21:31,49.18333333333333
29,2024-01-30,10:28:24,2024-01-30,11:17:35,49.18333333333333
30,2024-01-31,10:24:28,2024-01-31,11:13:39,49.18333333333333
31,2024-02-01,10:20:32,2024-02-01,11:09:43,49.18333333333333
32,2024-02-02,10:16:36,2024-02-02,11:05:47,49.18333333333333
33,2024-02-03,10:12:40,2024-02-03,11:01:51,49.18333333333333
34,2024-02-04,10:08:44,2024-02-04,10:57:55,49.18333333333333
35,2024-02-05,10:04:48,2024-02-05,10:54:00,49.2
36,2024-02-06,10:00:52,2024-02-06,10:50:04,49.2
37,2024-02-07,09:56:56,2024-02-07,10:46:08,49.2
38,2024-02-08,09:53:00,2024-02-08,10:42:12,49.2
39,2024-02-09,09:49:04,2024-02-09,10:38:16,49.2
40,2024-02-10,09:45:09,2024-02-10,10:34:20,49.18333333333333
41,2024-02-11,09:41:13,2024-02-11,10:30:24,49.18333333333333
42,2024-02-12,09:37:17,2024-02-12,10:26:28,49.18333333333333
43,2024-02-13,09:33:21,2024-02-13,10:22:32,49.18333333333333
44,2024-02-14,09:29:25,2024-02-14,10:18:36,49.18333333333333
45,2024-02-15,09:25:29,2024-02-15,10:14:40,49.18333333333333
46,2024-02-16,09:21:33,2024-02-16,10:10:44,49.18333333333333
47,2024-02-17,09:17:37,2024-02-17,10:06:48,49.18333333333333
48,2024-02-18,09:13:41,2024-02-18,10:02:53,49.2
49,2024-02-19,09:09:45,2024-02-19,09:58:57,49.2
50,2024-02-20,09:05:49,2024-02-20,09:55:01,49.2
51,2024-02-21,09:01:53,2024-02-21,09:51:05,49.2
52,2024-02-22,08:57:57,2024-02-22,09:47:09,49.2
53,2024-02-23,08:54:02,2024-02-23,09:43:13,49.18333333333333
54,2024-02-24,08:50:06,2024-02-24,09:39:17,49.18333333333333
55,2024-02-25,08:46:10,2024-02-25,09:35:21,49.18333333333333
56,2024-02-26,08:42:14,2024-02-26,09:31:25,49.18333333333333
57,2024-02-27,08:38:18,2024-02-27,09:27:29,49.18333333333333
58,2024-02-28,08:34:22,2024-02-28,09:23:33,49.18333333333333
59,2024-02-29,08:30:26,2024-02-29,09:19:37,49.18333333333333
60,2024-03-01,08:26:30,2024-03-01,09:15:41,49.18333333333333
61,2024-03-02,08:22:34,2024-03-02,09:11:46,49.2
62,2024-03-03,08:18:38,2024-03-03,09:07:50,49.2
63,2024-03-04,08:14:42,2024-03-04,09:03:54,49.2
64,2024-03-05,08:10:46,2024-03-05,08:59:58,49.2
65,2024-03-06,08:06:50,2024-03-06,08:56:02,49.2
66,2024-03-07,08:02:54,2024-03-07,08:52:06,49.2
67,2024-03-08,07:58:59,2024-03-08,08:48:10,49.18333333333333
68,2024-03-09,07:55:03,2024-03-09,08:44:14,49.18333333333333
69,2024-03-10,07:51:07,2024-03-10,08:40:18,49.18333333333333
70,2024-03-11,07:47:11,2024-03-11,08:36:22,49.18333333333333
71,2024-03-12,07:43:15,2024-03-12,08:32:26,49.18333333333333
72,2024-03-13,07:39:19,2024-03-13,08:28:30,49.18333333333333
73,2024-03-14,07:35:23,2024-03-14,08:24:34,49.18333333333333
74,2024-03-15,07:31:27,2024-03-15,08:20:38,49.18333333333333
75,2024-03-16,07:27:31,2024-03-16,08:16:43,49.2
76,2024-03-17,07:23:35,2024-03-17,08:12:47,49.2
77,2024-03-18,07:19:39,2024-03-18,08:08:51,49.2
78,2024-03-19,07:15:43,2024-03-19,08:04:55,49.2
79,2024-03-20,07:11:47,2024-03-20,08:00:59,49.2
80,2024-03-21,07:07:52,2024-03-21,07:57:03,49.18333333333333
81,2024-03-22,07:03:56,2024-03-22,07:53:07,49.18333333333333
82,2024-03-23,07:00:00,2024-03-23,07:49:11,49.18333333333333
83,2024-03-24,06:56:04,2024-03-24,07:45:15,49.18333333333333
84,2024-03-25,06:52:08,2024-03-25,07:41:19,49.18333333333333
85,2024-03-26,06:48:12,2024-03-26,07:37:23,49.18333333333333
86,2024-03-27,06:44:16,2024-03-27,07:33:27,49.18333333333333
87,2024-03-28,06:40:20,2024-03-28,07:29:31,49.18333333333333
88,2024-03-29,06:36:24,2024-03-29,07:25:36,49.2
89,2024-03-30,06:32:28,2024-03-30,07:21:40,49.2
