,Target Window,Target Window,Target Window,Target Window,Target Window
,Start Date,Start Time,End Date,End Time,Total Mins
0,2024-01-01,09:38:01,2024-01-01,10:26:19,48.3
1,2024-01-02,09:34:05,2024-01-02,10:22:23,48.3
2,2024-01-03,09:30:09,2024-01-03,10:18:27,48.3
3,2024-01-04,09:26:13,2024-01-04,10:14:31,48.3
4,2024-01-05,09:22:17,2024-01-05,10:10:35,48.3
5,2024-01-06,09:18:21,2024-01-06,10:06:39,48.3
6,2024-01-07,09:14:25,2024-01-07,10:02:44,48.31666666666667
7,2024-01-08,09:10:29,2024-01-08,09:58:48,48.31666666666667
8,2024-01-09,09:06:33,2024-01-09,09:54:52,48.31666666666667
9,2024-01-10,09:02:37,2024-01-10,09:50:56,48.31666666666667
10,2024-01-11,08:58:41,2024-01-11,09:47:00,48.31666666666667
11,2024-01-12,08:54:45,2024-01-12,09:43:04,48.31666666666667
12,2024-01-13,08:50:49,2024-01-13,09:39:08,48.31666666666667
13,2024-01-14,08:46:54,2024-01-14,09:35:12,48.3
14,2024-01-15,08:42:58,2024-01-15,09:31:16,48.3
15,2024-01-16,08:39:02,2024-01-16,09:27:20,48.3
16,2024-01-17,08:35:06,2024-01-17,09:23:24,48.3
17,2024-01-18,08:31:10,2024-01-18,09:19:28,48.3
18,2024-01-19,08:27:14,2024-01-19,09:15:32,48.3
19,2024-01-20,08:23:18,2024-01-20,09:11:37,48.31666666666667
20,2024-01-21,08:19:22,2024-01-21,09:07:41,48.31666666666667
21,2024-01-22,08:15:26,2024-01-22,09:03:45,48.31666666666667
22,2024-01-23,08:11:30,2024-01-23,08:59:49,48.31666666666667
23,2024-01-24,08:07:34,2024-01-24,08:55:53,48.31666666666667
24,2024-01-25,08:03:38,2024-01-25,08:51:57,48.31666666666667
25,2024-01-26,07:59:42,2024-01-26,08:48:01,48.31666666666667
26,2024-01-27,07:55:47,2024-01-27,08:44:05,48.3
27,2024-01-28,07:51:51,2024-01-28,08:40:09,48.3
28,2024-01-29,07:47:55,2024-01-29,08:36:13,48.3
29,2024-01-30,07:43:59,2024-01-30,08:32:17,48.3
30,2024-01-31,07:40:03,2024-01-31,08:28:21,48.3
31,2024-02-01,07:36:07,2024-02-01,08:24:25,48.3
32,2024-02-02,07:32:11,2024-02-02,08:20:29,48.3
33,2024-02-03,07:28:15,2024-02-03,08:16:34,48.31666666666667
34,2024-02-04,07:24:19,2024-02-04,08:12:38,48.31666666666667
