,Target Window,Target Window,Target Window,Target Window,Target Window,Opportunity Window,Opportunity Window,Opportunity Window,Opportunity Window,Opportunity Window
,Start Date,Start Time,End Date,End Time,Total Mins,Start Date,Start Time,End Date,End Time,Total Time
0,2023-11-01,13:37:51,2023-11-01,14:26:10,48.31666666666667,2023-11-01,00:00:00,2023-11-01,00:00:00,0.0
1,2023-11-02,13:33:55,2023-11-02,14:22:14,48.31666666666667,2023-11-02,00:00:00,2023-11-02,00:00:00,0.0
2,2023-11-03,13:30:00,2023-11-03,14:18:18,48.3,2023-11-03,00:00:00,2023-11-03,00:00:00,0.0
3,2023-11-04,13:26:04,2023-11-04,14:14:22,48.3,2023-11-04,00:00:00,2023-11-04,00:00:00,0.0
4,2023-11-05,13:22:08,2023-11-05,14:10:26,48.3,2023-11-05,00:00:00,2023-11-05,00:00:00,0.0
5,2023-11-06,13:18:12,2023-11-06,14:06:30,48.3,2023-11-06,00:00:00,2023-11-06,00:00:00,0.0
6,2023-11-07,13:14:16,2023-11-07,14:02:34,48.3,2023-11-07,00:00:00,2023-11-07,00:00:00,0.0
7,2023-11-08,13:10:20,2023-11-08,13:58:39,48.31666666666667,2023-11-08,00:00:00,2023-11-08,00:00:00,0.0
8,2023-11-09,13:06:24,2023-11-09,13:54:43,48.31666666666667,2023-11-09,00:00:00,2023-11-09,00:00:00,0.0
9,2023-11-10,13:02:28,2023-11-10,13:50:47,48.31666666666667,2023-11-10,00:00:00,2023-11-10,00:00:00,0.0
10,2023-11-11,12:58:32,2023-11-11,13:46:51,48.31666666666667,2023-11-11,00:00:00,2023-11-11,00:00:00,0.0
11,2023-11-12,12:54:36,2023-11-12,13:42:55,48.31666666666667,2023-11-12,00:00:00,2023-11-12,00:00:00,0.0
12,2023-11-13,12:50:40,2023-11-13,13:38:59,48.31666666666667,2023-11-13,00:00:00,2023-11-13,00:00:00,0.0
13,2023-11-14,12:46:45,2023-11-14,13:35:03,48.3,2023-11-14,12:46:45,2023-11-14,12:55:09.357578,8.405959633333334
14,2023-11-15,12:42:49,2023-11-15,13:31:07,48.3,2023-11-15,12:42:49,2023-11-15,12:56:06.368256,13.289470933333332
15,2023-11-16,12:38:53,2023-11-16,13:27:11,48.3,2023-11-16,12:38:53,2023-11-16,12:57:03.244010,18.170733499999997
16,2023-11-17,12:34:57,2023-11-17,13:23:15,48.3,2023-11-17,12:34:57,2023-11-17,12:57:59.956294,23.04927156666667
17,2023-11-18,12:31:01,2023-11-18,13:19:19,48.3,2023-11-18,12:31:01,2023-11-18,12:58:56.475814,27.924596899999997
18,2023-11-19,12:27:05,2023-11-19,13:15:24,48.31666666666667,2023-11-19,12:27:05,2023-11-19,12:59:52.773049,32.79621748333333
19,2023-11-20,12:23:09,2023-11-20,13:11:28,48.31666666666667,2023-11-20,12:23:09,2023-11-20,13:00:48.818708,37.66364513333333
20,2023-11-21,12:19:13,2023-11-21,13:07:32,48.31666666666667,2023-11-21,12:19:13,2023-11-21,13:01:44.584104,42.52640173333334
21,2023-11-22,12:15:17,2023-11-22,13:03:36,48.31666666666667,2023-11-22,12:15:17,2023-11-22,13:02:40.041345,47.38402241666667
22,2023-11-23,12:11:21,2023-11-23,12:59:40,48.31666666666667,2023-11-23,12:11:21,2023-11-23,12:59:40,48.31666666666667
23,2023-11-24,12:07:25,2023-11-24,12:55:44,48.31666666666667,2023-11-24,12:07:25,2023-11-24,12:55:44,48.31666666666667
24,2023-11-25,12:03:30,2023-11-25,12:51:48,48.3,2023-11-25,12:32:45.662323,2023-11-25,12:51:48,19.038961283333332
25,2023-11-26,11:59:34,2023-11-26,12:47:52,48.3,2023-11-26,00:00:00,2023-11-26,00:00:00,0.0
26,2023-11-27,11:55:38,2023-11-27,12:43:56,48.3,2023-11-27,00:00:00,2023-11-27,00:00:00,0.0
27,2023-11-28,11:51:42,2023-11-28,12:40:00,48.3,2023-11-28,00:00:00,2023-11-28,00:00:00,0.0
28,2023-11-29,11:47:46,2023-11-29,12:36:04,48.3,2023-11-29,00:00:00,2023-11-29,00:00:00,0.0
29,2023-11-30,11:43:50,2023-11-30,12:32:09,48.31666666666667,2023-11-30,00:00:00,2023-11-30,00:00:00,0.0
30,2023-12-01,11:39:54,2023-12-01,12:28:13,48.31666666666667,2023-12-01,00:00:00,2023-12-01,00:00:00,0.0
31,2023-12-02,11:35:58,2023-12-02,12:24:17,48.31666666666667,2023-12-02,00:00:00,2023-12-02,00:00:00,0.0
32,2023-12-03,11:32:02,2023-12-03,12:20:21,48.31666666666667,2023-12-03,00:00:00,2023-12-03,00:00:00,0.0
33,2023-12-04,11:28:06,2023-12-04,12:16:25,48.31666666666667,2023-12-04,00:00:00,2023-12-04,00:00:00,0.0
34,2023-12-05,11:24:10,2023-12-05,12:12:29,48.31666666666667,2023-12-05,00:00:00,2023-12-05,00:00:00,0.0
35,2023-12-06,11:20:14,2023-12-06,12:08:33,48.31666666666667,2023-12-06,00:00:00,2023-12-06,00:00:00,0.0
36,2023-12-07,11:16:19,2023-12-07,12:04:37,48.3,2023-12-07,00:00:00,2023-12-07,00:00:00,0.0
37,2023-12-08,11:12:23,2023-12-08,12:00:41,48.3,2023-12-08,00:00:00,2023-12-08,00:00:00,0.0
38,2023-12-09,11:08:27,2023-12-09,11:56:45,48.3,2023-12-09,00:00:00,2023-12-09,00:00:00,0.0
39,2023-12-10,11:04:31,2023-12-10,11:52:49,48.3,2023-12-10,00:00:00,2023-12-10,00:00:00,0.0
40,2023-12-11,11:00:35,2023-12-11,11:48:53,48.3,2023-12-11,00:00:00,2023-12-11,00:00:00,0.0
41,2023-12-12,10:56:39,2023-12-12,11:44:58,48.31666666666667,2023-12-12,00:00:00,2023-12-12,00:00:00,0.0
42,2023-12-13,10:52:43,2023-12-13,11:41:02,48.31666666666667,2023-12-13,00:00:00,2023-12-13,00:00:00,0.0
43,2023-12-14,10:48:47,2023-12-14,11:37:06,48.31666666666667,2023-12-14,10:48:47,2023-12-14,11:37:06,48.31666666666667
44,2023-12-15,10:44:51,2023-12-15,11:33:10,48.31666666666667,2023-12-15,10:44:51,2023-12-15,11:33:10,48.31666666666667
45,2023-12-16,10:40:55,2023-12-16,11:29:14,48.31666666666667,2023-12-16,10:40:55,2023-12-16,11:29:14,48.31666666666667
46,2023-12-17,10:36:59,2023-12-17,11:25:18,48.31666666666667,2023-12-17,10:36:59,2023-12-17,11:25:18,48.31666666666667
47,2023-12-18,10:33:03,2023-12-18,11:21:22,48.31666666666667,2023-12-18,10:33:03,2023-12-18,11:21:22,48.31666666666667
48,2023-12-19,10:29:08,2023-12-19,11:17:26,48.3,2023-12-19,10:29:08,2023-12-19,11:17:26,48.3
49,2023-12-20,10:25:12,2023-12-20,11:13:30,48.3,2023-12-20,10:25:12,2023-12-20,11:13:30,48.3
50,2023-12-21,10:21:16,2023-12-21,11:09:34,48.3,2023-12-21,10:21:16,2023-12-21,11:09:34,48.3
51,2023-12-22,10:17:20,2023-12-22,11:05:38,48.3,2023-12-22,10:20:33.756396,2023-12-22,11:05:38,45.07072673333333
52,2023-12-23,10:13:24,2023-12-23,11:01:42,48.3,2023-12-23,00:00:00,2023-12-23,00:00:00,0.0
53,2023-12-24,10:09:28,2023-12-24,10:57:46,48.3,2023-12-24,00:00:00,2023-12-24,00:00:00,0.0
54,2023-12-25,10:05:32,2023-12-25,10:53:51,48.31666666666667,2023-12-25,00:00:00,2023-12-25,00:00:00,0.0
55,2023-12-26,10:01:36,2023-12-26,10:49:55,48.31666666666667,2023-12-26,00:00:00,2023-12-26,00:00:00,0.0
56,2023-12-27,09:57:40,2023-12-27,10:45:59,48.31666666666667,2023-12-27,00:00:00,2023-12-27,00:00:00,0.0
57,2023-12-28,09:53:44,2023-12-28,10:42:03,48.31666666666667,2023-12-28,00:00:00,2023-12-28,00:00:00,0.0
58,2023-12-29,09:49:48,2023-12-29,10:38:07,48.31666666666667,2023-12-29,00:00:00,2023-12-29,00:00:00,0.0
59,2023-12-30,09:45:52,2023-12-30,10:34:11,48.31666666666667,2023-12-30,00:00:00,2023-12-30,00:00:00,0.0
60,2023-12-31,09:41:56,2023-12-31,10:30:15,48.31666666666667,2023-12-31,00:00:00,2023-12-31,00:00:00,0.0
61,2024-01-01,09:38:01,2024-01-01,10:26:19,48.3,2024-01-01,00:00:00,2024-01-01,00:00:00,0.0
62,2024-01-02,09:34:05,2024-01-02,10:22:23,48.3,2024-01-02,00:00:00,2024-01-02,00:00:00,0.0
63,2024-01-03,09:30:09,2024-01-03,10:18:27,48.3,2024-01-03,00:00:00,2024-01-03,00:00:00,0.0
64,2024-01-04,09:26:13,2024-01-04,10:14:31,48.3,2024-01-04,00:00:00,2024-01-04,00:00:00,0.0
65,2024-01-05,09:22:17,2024-01-05,10:10:35,48.3,2024-01-05,00:00:00,2024-01-05,00:00:00,0.0
66,2024-01-06,09:18:21,2024-01-06,10:06:39,48.3,2024-01-06,00:00:00,2024-01-06,00:00:00,0.0
67,2024-01-07,09:14:25,2024-01-07,10:02:44,48.31666666666667,2024-01-07,00:00:00,2024-01-07,00:00:00,0.0
68,2024-01-08,09:10:29,2024-01-08,09:58:48,48.31666666666667,2024-01-08,00:00:00,2024-01-08,00:00:00,0.0
69,2024-01-09,09:06:33,2024-01-09,09:54:52,48.31666666666667,2024-01-09,00:00:00,2024-01-09,00:00:00,0.0
70,2024-01-10,09:02:37,2024-01-10,09:50:56,48.31666666666667,2024-01-10,00:00:00,2024-01-10,00:00:00,0.0
71,2024-01-11,08:58:41,2024-01-11,09:47:00,48.31666666666667,2024-01-11,00:00:00,2024-01-11,00:00:00,0.0
72,2024-01-12,08:54:45,2024-01-12,09:43:04,48.31666666666667,2024-01-12,08:54:45,2024-01-12,09:43:04,48.31666666666667
73,2024-01-13,08:50:49,2024-01-13,09:39:08,48.31666666666667,2024-01-13,08:50:49,2024-01-13,09:39:08,48.31666666666667
74,2024-01-14,08:46:54,2024-01-14,09:35:12,48.3,2024-01-14,08:46:54,2024-01-14,09:35:12,48.3
75,2024-01-15,08:42:58,2024-01-15,09:31:16,48.3,2024-01-15,08:42:58,2024-01-15,09:31:16,48.3
76,2024-01-16,08:39:02,2024-01-16,09:27:20,48.3,2024-01-16,08:39:02,2024-01-16,09:27:20,48.3
77,2024-01-17,08:35:06,2024-01-17,09:23:24,48.3,2024-01-17,08:35:06,2024-01-17,09:23:24,48.3
78,2024-01-18,08:31:10,2024-01-18,09:19:28,48.3,2024-01-18,08:31:10,2024-01-18,09:19:28,48.3
79,2024-01-19,08:27:14,2024-01-19,09:15:32,48.3,2024-01-19,00:00:00,2024-01-19,00:00:00,0.0
80,2024-01-20,08:23:18,2024-01-20,09:11:37,48.31666666666667,2024-01-20,00:00:00,2024-01-20,00:00:00,0.0
81,2024-01-21,08:19:22,2024-01-21,09:07:41,48.31666666666667,2024-01-21,00:00:00,2024-01-21,00:00:00,0.0
82,2024-01-22,08:15:26,2024-01-22,09:03:45,48.31666666666667,2024-01-22,00:00:00,2024-01-22,00:00:00,0.0
83,2024-01-23,08:11:30,2024-01-23,08:59:49,48.31666666666667,2024-01-23,00:00:00,2024-01-23,00:00:00,0.0
84,2024-01-24,08:07:34,2024-01-24,08:55:53,48.31666666666667,2024-01-24,00:00:00,2024-01-24,00:00:00,0.0
85,2024-01-25,08:03:38,2024-01-25,08:51:57,48.31666666666667,2024-01-25,00:00:00,2024-01-25,00:00:00,0.0
86,2024-01-26,07:59:42,2024-01-26,08:48:01,48.31666666666667,2024-01-26,00:00:00,2024-01-26,00:00:00,0.0
87,2024-01-27,07:55:47,2024-01-27,08:44:05,48.3,2024-01-27,00:00:00,2024-01-27,00:00:00,0.0
88,2024-01-28,07:51:51,2024-01-28,08:40:09,48.3,2024-01-28,00:00:00,2024-01-28,00:00:00,0.0
89,2024-01-29,07:47:55,2024-01-29,08:36:13,48.3,2024-01-29,00:00:00,2024-01-29,00:00:00,0.0
90,2024-01-30,07:43:59,2024-01-30,08:32:17,48.3,2024-01-30,00:00:00,2024-01-30,00:00:00,0.0
91,2024-01-31,07:40:03,2024-01-31,08:28:21,48.3,2024-01-31,00:00:00,2024-01-31,00:00:00,0.0
92,2024-02-01,07:36:07,2024-02-01,08:24:25,48.3,2024-02-01,00:00:00,2024-02-01,00:00:00,0.0
93,2024-02-02,07:32:11,2024-02-02,08:20:29,48.3,2024-02-02,00:00:00,2024-02-02,00:00:00,0.0
94,2024-02-03,07:28:15,2024-02-03,08:16:34,48.31666666666667,2024-02-03,00:00:00,2024-02-03,00:00:00,0.0
95,2024-02-04,07:24:19,2024-02-04,08:12:38,48.31666666666667,2024-02-04,00:00:00,2024-02-04,00:00:00,0.0
96,2024-02-05,07:20:23,2024-02-05,08:08:42,48.31666666666667,2024-02-05,00:00:00,2024-02-05,00:00:00,0.0
97,2024-02-06,07:16:27,2024-02-06,08:04:46,48.31666666666667,2024-02-06,00:00:00,2024-02-06,00:00:00,0.0
98,2024-02-07,07:12:31,2024-02-07,08:00:50,48.31666666666667,2024-02-07,00:00:00,2024-02-07,00:00:00,0.0
99,2024-02-08,07:08:35,2024-02-08,07:56:54,48.31666666666667,2024-02-08,00:00:00,2024-02-08,00:00:00,0.0
100,2024-02-09,07:04:39,2024-02-09,07:52:58,48.31666666666667,2024-02-09,00:00:00,2024-02-09,00:00:00,0.0
101,2024-02-10,07:00:44,2024-02-10,07:49:02,48.3,2024-02-10,07:00:44,2024-02-10,07:49:02,48.3
102,2024-02-11,06:56:48,2024-02-11,07:45:06,48.3,2024-02-11,06:56:48,2024-02-11,07:45:06,48.3
103,2024-02-12,06:52:52,2024-02-12,07:41:10,48.3,2024-02-12,06:52:52,2024-02-12,07:41:10,48.3
104,2024-02-13,06:48:56,2024-02-13,07:37:14,48.3,2024-02-13,06:48:56,2024-02-13,07:37:14,48.3
105,2024-02-14,06:45:00,2024-02-14,07:33:18,48.3,2024-02-14,06:45:00,2024-02-14,07:33:18,48.3
106,2024-02-15,06:41:04,2024-02-15,07:29:22,48.3,2024-02-15,07:12:04.233323,2024-02-15,07:29:22,17.296111283333335
107,2024-02-16,06:37:08,2024-02-16,07:25:27,48.31666666666667,2024-02-16,00:00:00,2024-02-16,00:00:00,0.0
108,2024-02-17,06:33:12,2024-02-17,07:21:31,48.31666666666667,2024-02-17,00:00:00,2024-02-17,00:00:00,0.0
109,2024-02-18,06:29:16,2024-02-18,07:17:35,48.31666666666667,2024-02-18,00:00:00,2024-02-18,00:00:00,0.0
110,2024-02-19,06:25:20,2024-02-19,07:13:39,48.31666666666667,2024-02-19,00:00:00,2024-02-19,00:00:00,0.0
111,2024-02-20,06:21:24,2024-02-20,07:09:43,48.31666666666667,2024-02-20,00:00:00,2024-02-20,00:00:00,0.0
112,2024-02-21,06:17:28,2024-02-21,07:05:47,48.31666666666667,2024-02-21,00:00:00,2024-02-21,00:00:00,0.0
113,2024-02-22,06:13:32,2024-02-22,07:01:51,48.31666666666667,2024-02-22,00:00:00,2024-02-22,00:00:00,0.0
114,2024-02-23,06:09:37,2024-02-23,06:57:55,48.3,2024-02-23,00:00:00,2024-02-23,00:00:00,0.0
115,2024-02-24,06:05:41,2024-02-24,06:53:59,48.3,2024-02-24,00:00:00,2024-02-24,00:00:00,0.0
116,2024-02-25,06:01:45,2024-02-25,06:50:03,48.3,2024-02-25,00:00:00,2024-02-25,00:00:00,0.0
117,2024-02-26,05:57:49,2024-02-26,06:46:07,48.3,2024-02-26,00:00:00,2024-02-26,00:00:00,0.0
118,2024-02-27,05:53:53,2024-02-27,06:42:11,48.3,2024-02-27,00:00:00,2024-02-27,00:00:00,0.0
119,2024-02-28,05:49:57,2024-02-28,06:38:15,48.3,2024-02-28,00:00:00,2024-02-28,00:00:00,0.0
120,2024-02-29,05:46:01,2024-02-29,06:34:20,48.31666666666667,2024-02-29,00:00:00,2024-02-29,00:00:00,0.0
121,2024-03-01,05:42:05,2024-03-01,06:30:24,48.31666666666667,2024-03-01,00:00:00,2024-03-01,00:00:00,0.0
122,2024-03-02,05:38:09,2024-03-02,06:26:28,48.31666666666667,2024-03-02,00:00:00,2024-03-02,00:00:00,0.0
123,2024-03-03,05:34:13,2024-03-03,06:22:32,48.31666666666667,2024-03-03,00:00:00,2024-03-03,00:00:00,0.0
124,2024-03-04,05:30:17,2024-03-04,06:18:36,48.31666666666667,2024-03-04,00:00:00,2024-03-04,00:00:00,0.0
125,2024-03-05,05:26:21,2024-03-05,06:14:40,48.31666666666667,2024-03-05,00:00:00,2024-03-05,00:00:00,0.0
126,2024-03-06,05:22:25,2024-03-06,06:10:44,48.31666666666667,2024-03-06,00:00:00,2024-03-06,00:00:00,0.0
127,2024-03-07,05:18:30,2024-03-07,06:06:48,48.3,2024-03-07,00:00:00,2024-03-07,00:00:00,0.0
128,2024-03-08,05:14:34,2024-03-08,06:02:52,48.3,2024-03-08,00:00:00,2024-03-08,00:00:00,0.0
129,2024-03-09,05:10:38,2024-03-09,05:58:56,48.3,2024-03-09,00:00:00,2024-03-09,00:00:00,0.0
130,2024-03-10,05:06:42,2024-03-10,05:55:00,48.3,2024-03-10,05:06:42,2024-03-10,05:55:00,48.3
131,2024-03-11,05:02:46,2024-03-11,05:51:04,48.3,2024-03-11,05:02:46,2024-03-11,05:51:04,48.3
132,2024-03-12,04:58:50,2024-03-12,05:47:09,48.31666666666667,2024-03-12,04:58:50,2024-03-12,05:47:09,48.31666666666667
133,2024-03-13,04:54:54,2024-03-13,05:43:13,48.31666666666667,2024-03-13,04:54:54,2024-03-13,05:43:13,48.31666666666667
134,2024-03-14,04:50:58,2024-03-14,05:39:17,48.31666666666667,2024-03-14,00:00:00,2024-03-14,00:00:00,0.0
135,2024-03-15,04:47:02,2024-03-15,05:35:21,48.31666666666667,2024-03-15,00:00:00,2024-03-15,00:00:00,0.0
136,2024-03-16,04:43:06,2024-03-16,05:31:25,48.31666666666667,2024-03-16,00:00:00,2024-03-16,00:00:00,0.0
137,2024-03-17,04:39:10,2024-03-17,05:27:29,48.31666666666667,2024-03-17,00:00:00,2024-03-17,00:00:00,0.0
138,2024-03-18,04:35:14,2024-03-18,05:23:33,48.31666666666667,2024-03-18,00:00:00,2024-03-18,00:00:00,0.0
139,2024-03-19,04:31:19,2024-03-19,05:19:37,48.3,2024-03-19,00:00:00,2024-03-19,00:00:00,0.0
140,2024-03-20,04:27:23,2024-03-20,05:15:41,48.3,2024-03-20,00:00:00,2024-03-20,00:00:00,0.0
141,2024-03-21,04:23:27,2024-03-21,05:11:45,48.3,2024-03-21,00:00:00,2024-03-21,00:00:00,0.0
