,Target Window,Target Window,Target Window,Target Window,Target Window,Opportunity Window,Opportunity Window,Opportunity Window,Opportunity Window,Opportunity Window
,Start Date,Start Time,End Date,End Time,Total Mins,Start Date,Start Time,End Date,End Time,Total Time
0,2023-11-01,16:22:15,2023-11-01,17:11:27,49.2,2023-11-01,00:00:00,2023-11-01,00:00:00,0.0
1,2023-11-02,16:18:19,2023-11-02,17:07:31,49.2,2023-11-02,00:00:00,2023-11-02,00:00:00,0.0
2,2023-11-03,16:14:24,2023-11-03,17:03:35,49.18333333333333,2023-11-03,00:00:00,2023-11-03,00:00:00,0.0
3,2023-11-04,16:10:28,2023-11-04,16:59:39,49.18333333333333,2023-11-04,00:00:00,2023-11-04,00:00:00,0.0
4,2023-11-05,16:06:32,2023-11-05,16:55:43,49.18333333333333,2023-11-05,00:00:00,2023-11-05,00:00:00,0.0
5,2023-11-06,16:02:36,2023-11-06,16:51:47,49.18333333333333,2023-11-06,00:00:00,2023-11-06,00:00:00,0.0
6,2023-11-07,15:58:40,2023-11-07,16:47:51,49.18333333333333,2023-11-07,00:00:00,2023-11-07,00:00:00,0.0
7,2023-11-08,15:54:44,2023-11-08,16:43:56,49.2,2023-11-08,00:00:00,2023-11-08,00:00:00,0.0
8,2023-11-09,15:50:48,2023-11-09,16:40:00,49.2,2023-11-09,00:00:00,2023-11-09,00:00:00,0.0
9,2023-11-10,15:46:52,2023-11-10,16:36:04,49.2,2023-11-10,00:00:00,2023-11-10,00:00:00,0.0
10,2023-11-11,15:42:56,2023-11-11,16:32:08,49.2,2023-11-11,00:00:00,2023-11-11,00:00:00,0.0
11,2023-11-12,15:39:01,2023-11-12,16:28:12,49.18333333333333,2023-11-12,00:00:00,2023-11-12,00:00:00,0.0
12,2023-11-13,15:35:05,2023-11-13,16:24:16,49.18333333333333,2023-11-13,00:00:00,2023-11-13,00:00:00,0.0
13,2023-11-14,15:31:09,2023-11-14,16:20:20,49.18333333333333,2023-11-14,00:00:00,2023-11-14,00:00:00,0.0
14,2023-11-15,15:27:13,2023-11-15,16:16:24,49.18333333333333,2023-11-15,00:00:00,2023-11-15,00:00:00,0.0
15,2023-11-16,15:23:17,2023-11-16,16:12:28,49.18333333333333,2023-11-16,00:00:00,2023-11-16,00:00:00,0.0
16,2023-11-17,15:19:21,2023-11-17,16:08:32,49.18333333333333,2023-11-17,00:00:00,2023-11-17,00:00:00,0.0
17,2023-11-18,15:15:25,2023-11-18,16:04:37,49.2,2023-11-18,00:00:00,2023-11-18,00:00:00,0.0
18,2023-11-19,15:11:29,2023-11-19,16:00:41,49.2,2023-11-19,00:00:00,2023-11-19,00:00:00,0.0
19,2023-11-20,15:07:33,2023-11-20,15:56:45,49.2,2023-11-20,00:00:00,2023-11-20,00:00:00,0.0
20,2023-11-21,15:03:37,2023-11-21,15:52:49,49.2,2023-11-21,00:00:00,2023-11-21,00:00:00,0.0
21,2023-11-22,14:59:42,2023-11-22,15:48:53,49.18333333333333,2023-11-22,00:00:00,2023-11-22,00:00:00,0.0
22,2023-11-23,14:55:46,2023-11-23,15:44:57,49.18333333333333,2023-11-23,00:00:00,2023-11-23,00:00:00,0.0
23,2023-11-24,14:51:50,2023-11-24,15:41:01,49.18333333333333,2023-11-24,00:00:00,2023-11-24,00:00:00,0.0
24,2023-11-25,14:47:54,2023-11-25,15:37:05,49.18333333333333,2023-11-25,00:00:00,2023-11-25,00:00:00,0.0
25,2023-11-26,14:43:58,2023-11-26,15:33:09,49.18333333333333,2023-11-26,00:00:00,2023-11-26,00:00:00,0.0
26,2023-11-27,14:40:02,2023-11-27,15:29:13,49.18333333333333,2023-11-27,00:00:00,2023-11-27,00:00:00,0.0
27,2023-11-28,14:36:06,2023-11-28,15:25:18,49.2,2023-11-28,00:00:00,2023-11-28,00:00:00,0.0
28,2023-11-29,14:32:10,2023-11-29,15:21:22,49.2,2023-11-29,00:00:00,2023-11-29,00:00:00,0.0
29,2023-11-30,14:28:14,2023-11-30,15:17:26,49.2,2023-11-30,00:00:00,2023-11-30,00:00:00,0.0
30,2023-12-01,14:24:18,2023-12-01,15:13:30,49.2,2023-12-01,00:00:00,2023-12-01,00:00:00,0.0
31,2023-12-02,14:20:23,2023-12-02,15:09:34,49.18333333333333,2023-12-02,00:00:00,2023-12-02,00:00:00,0.0
32,2023-12-03,14:16:27,2023-12-03,15:05:38,49.18333333333333,2023-12-03,00:00:00,2023-12-03,00:00:00,0.0
33,2023-12-04,14:12:31,2023-12-04,15:01:42,49.18333333333333,2023-12-04,00:00:00,2023-12-04,00:00:00,0.0
34,2023-12-05,14:08:35,2023-12-05,14:57:46,49.18333333333333,2023-12-05,00:00:00,2023-12-05,00:00:00,0.0
35,2023-12-06,14:04:39,2023-12-06,14:53:50,49.18333333333333,2023-12-06,00:00:00,2023-12-06,00:00:00,0.0
36,2023-12-07,14:00:43,2023-12-07,14:49:54,49.18333333333333,2023-12-07,00:00:00,2023-12-07,00:00:00,0.0
37,2023-12-08,13:56:47,2023-12-08,14:45:59,49.2,2023-12-08,00:00:00,2023-12-08,00:00:00,0.0
38,2023-12-09,13:52:51,2023-12-09,14:42:03,49.2,2023-12-09,00:00:00,2023-12-09,00:00:00,0.0
39,2023-12-10,13:48:55,2023-12-10,14:38:07,49.2,2023-12-10,00:00:00,2023-12-10,00:00:00,0.0
40,2023-12-11,13:44:59,2023-12-11,14:34:11,49.2,2023-12-11,00:00:00,2023-12-11,00:00:00,0.0
41,2023-12-12,13:41:04,2023-12-12,14:30:15,49.18333333333333,2023-12-12,00:00:00,2023-12-12,00:00:00,0.0
42,2023-12-13,13:37:08,2023-12-13,14:26:19,49.18333333333333,2023-12-13,00:00:00,2023-12-13,00:00:00,0.0
43,2023-12-14,13:33:12,2023-12-14,14:22:23,49.18333333333333,2023-12-14,00:00:00,2023-12-14,00:00:00,0.0
44,2023-12-15,13:29:16,2023-12-15,14:18:27,49.18333333333333,2023-12-15,00:00:00,2023-12-15,00:00:00,0.0
45,2023-12-16,13:25:20,2023-12-16,14:14:31,49.18333333333333,2023-12-16,00:00:00,2023-12-16,00:00:00,0.0
46,2023-12-17,13:21:24,2023-12-17,14:10:35,49.18333333333333,2023-12-17,13:21:24,2023-12-17,13:22:33.463653,1.15772755
47,2023-12-18,13:17:28,2023-12-18,14:06:39,49.18333333333333,2023-12-18,13:17:28,2023-12-18,13:23:08.911327,5.6818554500000005
48,2023-12-19,13:13:32,2023-12-19,14:02:44,49.2,2023-12-19,13:13:32,2023-12-19,13:23:43.025275,10.183754583333332
49,2023-12-20,13:09:36,2023-12-20,13:58:48,49.2,2023-12-20,13:09:36,2023-12-20,13:24:15.767766,14.662796100000001
50,2023-12-21,13:05:40,2023-12-21,13:54:52,49.2,2023-12-21,13:05:40,2023-12-21,13:24:47.103689,19.11839481666667
51,2023-12-22,13:01:44,2023-12-22,13:50:56,49.2,2023-12-22,13:01:44,2023-12-22,13:25:17.000333,23.550005549999998
52,2023-12-23,12:57:49,2023-12-23,13:47:00,49.18333333333333,2023-12-23,12:57:49,2023-12-23,13:25:45.427064,27.940451066666665
53,2023-12-24,12:53:53,2023-12-24,13:43:04,49.18333333333333,2023-12-24,12:53:53,2023-12-24,13:26:12.354879,32.322581316666664
54,2023-12-25,12:49:57,2023-12-25,13:39:08,49.18333333333333,2023-12-25,00:00:00,2023-12-25,00:00:00,0.0
55,2023-12-26,12:46:01,2023-12-26,13:35:12,49.18333333333333,2023-12-26,00:00:00,2023-12-26,00:00:00,0.0
56,2023-12-27,12:42:05,2023-12-27,13:31:16,49.18333333333333,2023-12-27,00:00:00,2023-12-27,00:00:00,0.0
57,2023-12-28,12:38:09,2023-12-28,13:27:20,49.18333333333333,2023-12-28,00:00:00,2023-12-28,00:00:00,0.0
58,2023-12-29,12:34:13,2023-12-29,13:23:24,49.18333333333333,2023-12-29,00:00:00,2023-12-29,00:00:00,0.0
59,2023-12-30,12:30:17,2023-12-30,13:19:29,49.2,2023-12-30,00:00:00,2023-12-30,00:00:00,0.0
60,2023-12-31,12:26:21,2023-12-31,13:15:33,49.2,2023-12-31,00:00:00,2023-12-31,00:00:00,0.0
61,2024-01-01,12:22:25,2024-01-01,13:11:37,49.2,2024-01-01,00:00:00,2024-01-01,00:00:00,0.0
62,2024-01-02,12:18:29,2024-01-02,13:07:41,49.2,2024-01-02,00:00:00,2024-01-02,00:00:00,0.0
63,2024-01-03,12:14:33,2024-01-03,13:03:45,49.2,2024-01-03,00:00:00,2024-01-03,00:00:00,0.0
64,2024-01-04,12:10:38,2024-01-04,12:59:49,49.18333333333333,2024-01-04,00:00:00,2024-01-04,00:00:00,0.0
65,2024-01-05,12:06:42,2024-01-05,12:55:53,49.18333333333333,2024-01-05,00:00:00,2024-01-05,00:00:00,0.0
66,2024-01-06,12:02:46,2024-01-06,12:51:57,49.18333333333333,2024-01-06,00:00:00,2024-01-06,00:00:00,0.0
67,2024-01-07,11:58:50,2024-01-07,12:48:01,49.18333333333333,2024-01-07,00:00:00,2024-01-07,00:00:00,0.0
68,2024-01-08,11:54:54,2024-01-08,12:44:05,49.18333333333333,2024-01-08,00:00:00,2024-01-08,00:00:00,0.0
69,2024-01-09,11:50:58,2024-01-09,12:40:09,49.18333333333333,2024-01-09,00:00:00,2024-01-09,00:00:00,0.0
70,2024-01-10,11:47:02,2024-01-10,12:36:13,49.18333333333333,2024-01-10,00:00:00,2024-01-10,00:00:00,0.0
71,2024-01-11,11:43:06,2024-01-11,12:32:18,49.2,2024-01-11,00:00:00,2024-01-11,00:00:00,0.0
72,2024-01-12,11:39:10,2024-01-12,12:28:22,49.2,2024-01-12,11:39:10,2024-01-12,12:28:22,49.2
73,2024-01-13,11:35:14,2024-01-13,12:24:26,49.2,2024-01-13,11:35:14,2024-01-13,12:24:26,49.2
74,2024-01-14,11:31:18,2024-01-14,12:20:30,49.2,2024-01-14,11:31:18,2024-01-14,12:20:30,49.2
75,2024-01-15,11:27:22,2024-01-15,12:16:34,49.2,2024-01-15,11:27:22,2024-01-15,12:16:34,49.2
76,2024-01-16,11:23:27,2024-01-16,12:12:38,49.18333333333333,2024-01-16,11:23:27,2024-01-16,12:12:38,49.18333333333333
77,2024-01-17,11:19:31,2024-01-17,12:08:42,49.18333333333333,2024-01-17,11:19:31,2024-01-17,12:08:42,49.18333333333333
78,2024-01-18,11:15:35,2024-01-18,12:04:46,49.18333333333333,2024-01-18,11:15:35,2024-01-18,12:04:46,49.18333333333333
79,2024-01-19,11:11:39,2024-01-19,12:00:50,49.18333333333333,2024-01-19,11:11:39,2024-01-19,12:00:50,49.18333333333333
80,2024-01-20,11:07:43,2024-01-20,11:56:54,49.18333333333333,2024-01-20,11:07:43,2024-01-20,11:56:54,49.18333333333333
81,2024-01-21,11:03:47,2024-01-21,11:52:58,49.18333333333333,2024-01-21,11:40:26.125482,2024-01-21,11:52:58,12.531241966666666
82,2024-01-22,10:59:51,2024-01-22,11:49:02,49.18333333333333,2024-01-22,00:00:00,2024-01-22,00:00:00,0.0
83,2024-01-23,10:55:55,2024-01-23,11:45:07,49.2,2024-01-23,00:00:00,2024-01-23,00:00:00,0.0
84,2024-01-24,10:51:59,2024-01-24,11:41:11,49.2,2024-01-24,00:00:00,2024-01-24,00:00:00,0.0
85,2024-01-25,10:48:03,2024-01-25,11:37:15,49.2,2024-01-25,00:00:00,2024-01-25,00:00:00,0.0
86,2024-01-26,10:44:07,2024-01-26,11:33:19,49.2,2024-01-26,00:00:00,2024-01-26,00:00:00,0.0
87,2024-01-27,10:40:11,2024-01-27,11:29:23,49.2,2024-01-27,00:00:00,2024-01-27,00:00:00,0.0
88,2024-01-28,10:36:16,2024-01-28,11:25:27,49.18333333333333,2024-01-28,00:00:00,2024-01-28,00:00:00,0.0
89,2024-01-29,10:32:20,2024-01-29,11:21:31,49.18333333333333,2024-01-29,00:00:00,2024-01-29,00:00:00,0.0
90,2024-01-30,10:28:24,2024-01-30,11:17:35,49.18333333333333,2024-01-30,00:00:00,2024-01-30,00:00:00,0.0
91,2024-01-31,10:24:28,2024-01-31,11:13:39,49.18333333333333,2024-01-31,00:00:00,2024-01-31,00:00:00,0.0
92,2024-02-01,10:20:32,2024-02-01,11:09:43,49.18333333333333,2024-02-01,00:00:00,2024-02-01,00:00:00,0.0
93,2024-02-02,10:16:36,2024-02-02,11:05:47,49.18333333333333,2024-02-02,00:00:00,2024-02-02,00:00:00,0.0
94,2024-02-03,10:12:40,2024-02-03,11:01:51,49.18333333333333,2024-02-03,00:00:00,2024-02-03,00:00:00,0.0
95,2024-02-04,10:08:44,2024-02-04,10:57:55,49.18333333333333,2024-02-04,00:00:00,2024-02-04,00:00:00,0.0
96,2024-02-05,10:04:48,2024-02-05,10:54:00,49.2,2024-02-05,00:00:00,2024-02-05,00:00:00,0.0
97,2024-02-06,10:00:52,2024-02-06,10:50:04,49.2,2024-02-06,00:00:00,2024-02-06,00:00:00,0.0
98,2024-02-07,09:56:56,2024-02-07,10:46:08,49.2,2024-02-07,00:00:00,2024-02-07,00:00:00,0.0
99,2024-02-08,09:53:00,2024-02-08,10:42:12,49.2,2024-02-08,00:00:00,2024-02-08,00:00:00,0.0
100,2024-02-09,09:49:04,2024-02-09,10:38:16,49.2,2024-02-09,00:00:00,2024-02-09,00:00:00,0.0
101,2024-02-10,09:45:09,2024-02-10,10:34:20,49.18333333333333,2024-02-10,09:45:09,2024-02-10,10:34:20,49.18333333333333
